"county","party","candidate","votes","persons_per_household"
St. Martin,Democrat,Hillary Clinton,1869,2.76
Boyd,Democrat,Bernie Sanders,2262,2.41
Caddo,Democrat,Bernie Sanders,1543,2.71
Rock Island,Democrat,Hillary Clinton,10216,2.37
Marshall,Democrat,Bernie Sanders,960,2.58
Whitley,Republican,Donald Trump,1556,2.6
Portage,Democrat,Bernie Sanders,9348,2.38
Southampton,Democrat,Hillary Clinton,1199,2.52
Wayne,Republican,Donald Trump,6116,2.34
Ware,Republican,Donald Trump,1998,2.48
Randolph,Republican,Donald Trump,2352,2.48
Garrett,Republican,Donald Trump,3564,2.45
Perry,Republican,Donald Trump,1561,2.49
Leslie,Republican,Donald Trump,503,2.62
Hickory,Republican,Donald Trump,297,2.23
Roberts,Democrat,Bernie Sanders,397,2.71
Brooklyn,Democrat,Hillary Clinton,174236,2.73
Santa Cruz,Democrat,Hillary Clinton,2496,3.11
Vernon,Democrat,Bernie Sanders,3476,2.51
Douglas,Democrat,Bernie Sanders,2347,2.82
Washington,Republican,Donald Trump,1666,2.61
Kenedy,Democrat,Hillary Clinton,63,3.28
Christian,Republican,Donald Trump,2392,2.32
Habersham,Republican,Donald Trump,3289,2.74
Macomb,Republican,Donald Trump,60492,2.52
Presque Isle,Republican,Donald Trump,916,2.08
Jasper,Republican,Ted Cruz,928,2.46
Lawrence,Republican,Donald Trump,5971,2.44
Brantley,Republican,Donald Trump,1161,2.79
Dent,Republican,Donald Trump,1688,2.63
Pulaski,Republican,Donald Trump,673,2.54
Boyd,Republican,Donald Trump,327,2.2
Liberty,Republican,Donald Trump,387,2.53
Floyd,Republican,Donald Trump,7456,2.54
Bamberg,Democrat,Hillary Clinton,1715,2.47
Montgomery,Democrat,Hillary Clinton,953,2.51
Cerro Gordo,Democrat,Bernie Sanders,1108,2.14
Adams,Democrat,Hillary Clinton,113,2.2
Stanislaus,Republican,Donald Trump,15390,3.07
Charles City,Democrat,Hillary Clinton,863,2.53
Chesapeake,Democrat,Hillary Clinton,16126,2.77
Barnwell,Democrat,Hillary Clinton,1560,2.63
Jackson,Democrat,Hillary Clinton,48860,2.45
Colbert,Democrat,Hillary Clinton,3879,2.42
Madison,Democrat,Hillary Clinton,1542,2.52
Grand,Democrat,Bernie Sanders,636,2.51
Cass,Republican,Ted Cruz,7671,2.65
Hertford,Democrat,Hillary Clinton,2926,2.53
Shelby,Democrat,Bernie Sanders,232,2.33
Bexar,Democrat,Hillary Clinton,76502,2.84
Whitfield,Republican,Donald Trump,5945,2.95
St. Landry,Democrat,Hillary Clinton,4606,2.66
Santa Cruz,Democrat,Bernie Sanders,25171,2.72
St. Johns,Republican,Donald Trump,24205,2.57
Choctaw,Democrat,Bernie Sanders,745,2.48
Platte,Republican,Donald Trump,2902,2.56
Kendall,Democrat,Bernie Sanders,7482,3.05
Hendry,Republican,Donald Trump,1290,3.15
Houghton,Democrat,Bernie Sanders,2039,2.43
Scott,Republican,Donald Trump,715,2.55
Vanderburgh,Republican,Donald Trump,14544,2.34
Madera,Republican,Donald Trump,8247,3.37
Oglala Lakota,Democrat,Bernie Sanders,574,4.7
Lafourche,Republican,Donald Trump,2725,2.7
Erie,Democrat,Hillary Clinton,19511,2.44
Bibb,Democrat,Hillary Clinton,12944,2.63
Grundy,Republican,Donald Trump,978,2.4
Dawson,Republican,Donald Trump,2649,2.61
Grant,Republican,Donald Trump,162,2.38
Uinta,Democrat,Bernie Sanders,5,2.85
Houston,Republican,Donald Trump,8171,2.58
Lincoln,Republican,Ted Cruz,276,3.21
Carbon,Democrat,Hillary Clinton,4,2.42
Bracken,Democrat,Bernie Sanders,424,2.59
Johnson,Republican,Donald Trump,17218,2.66
Benewah,Republican,Ted Cruz,671,2.34
Nuckolls,Republican,Donald Trump,446,2.08
Henry,Republican,Ted Cruz,379,2.53
Monroe,Republican,Donald Trump,6030,2.54
Conejos,Democrat,Hillary Clinton,73,2.64
Fallon,Republican,Donald Trump,734,2.53
Magoffin,Democrat,Bernie Sanders,626,2.64
Yellowstone,Republican,Donald Trump,17925,2.4
Bronx,Democrat,Hillary Clinton,95772,2.85
Union,Democrat,Bernie Sanders,1106,2.44
Chesterfield,Democrat,Hillary Clinton,2209,2.6
Stone,Republican,Ted Cruz,1428,2.88
Hancock,Republican,Ted Cruz,385,2.37
Fremont,Democrat,Bernie Sanders,268,2.1
Bullock,Democrat,Hillary Clinton,2451,2.73
Shannon,Republican,Donald Trump,808,2.57
Williamson,Republican,Donald Trump,4929,2.41
Pickens,Republican,Donald Trump,3360,2.63
Willacy,Democrat,Hillary Clinton,2072,3.59
Vance,Democrat,Hillary Clinton,4561,2.66
Covington,Democrat,Hillary Clinton,244,2.29
Mahaska,Republican,Ted Cruz,669,2.4
Howard,Democrat,Bernie Sanders,215,2.39
Baldwin,Republican,Donald Trump,23618,2.52
Houston,Republican,Donald Trump,7091,2.7
Knox,Republican,Donald Trump,642,2.22
St. Francois,Republican,Donald Trump,4061,2.34
Cooper,Republican,Ted Cruz,1369,2.43
Monroe,Republican,Donald Trump,805,2.43
Marin,Democrat,Hillary Clinton,27238,2.39
Grayson,Republican,Donald Trump,749,2.57
Emporia,Democrat,Hillary Clinton,404,2.23
Valley,Republican,Donald Trump,575,2.7
Hickman,Democrat,Bernie Sanders,300,2.34
Navajo,Democrat,Hillary Clinton,4415,3.05
Bonneville,Republican,Ted Cruz,7794,2.9
Cumberland,Democrat,Hillary Clinton,6875,2.86
Gage,Republican,Donald Trump,1407,2.36
McCormick,Democrat,Hillary Clinton,973,2.15
Bay,Republican,Donald Trump,14426,2.48
Shelby,Republican,Ted Cruz,2069,2.45
Clay,Democrat,Bernie Sanders,303,2.28
Ingham,Democrat,Bernie Sanders,22909,2.41
Madison,Democrat,Hillary Clinton,1085,2.58
Oldham,Democrat,Hillary Clinton,2730,2.89
Colleton,Democrat,Hillary Clinton,2932,2.55
Muskogee,Democrat,Bernie Sanders,3515,2.51
Clinton,Republican,Donald Trump,771,2.54
Zavala,Democrat,Hillary Clinton,1557,3.15
Cascade,Republican,Donald Trump,8129,2.37
Highlands,Republican,Donald Trump,7480,2.42
El Paso,Democrat,Bernie Sanders,4954,2.6
Cheyenne,Democrat,Hillary Clinton,5,2.55
Seminole,Democrat,Bernie Sanders,1194,2.66
Keith,Republican,Donald Trump,1253,2.15
Hayes,Republican,Donald Trump,103,2.39
Lincoln,Republican,Donald Trump,4144,2.8
Peoria,Democrat,Hillary Clinton,11341,2.39
Jasper,Republican,Donald Trump,1205,2.66
Wilson,Democrat,Hillary Clinton,6408,2.51
Knox,Republican,Donald Trump,4918,2.4
Harrison,Republican,Donald Trump,12555,2.57
Calhoun,Democrat,Bernie Sanders,545,2.7
Newton,Republican,Ted Cruz,6452,2.61
Monroe,Republican,Ted Cruz,195,2.34
Taos,Democrat,Bernie Sanders,4325,2.43
Conecuh,Democrat,Hillary Clinton,2031,2.61
Boone,Democrat,Bernie Sanders,2410,2.55
Jackson,Democrat,Hillary Clinton,827,2.54
Washington,Democrat,Hillary Clinton,1741,2.7
Allegany,Republican,Donald Trump,6272,2.34
Howard,Republican,Ted Cruz,798,2.46
Fluvanna,Democrat,Hillary Clinton,1355,2.6
Washington,Democrat,Hillary Clinton,1374,2.53
Latimer,Democrat,Bernie Sanders,852,2.53
Banks,Republican,Donald Trump,1806,2.71
Frederick,Republican,Donald Trump,15076,2.69
Wayne,Republican,Donald Trump,2033,2.76
Rio Blanco,Democrat,Bernie Sanders,18,2.24
Fayette,Republican,Donald Trump,2744,2.48
Elmore,Republican,Donald Trump,1252,2.7
Oscoda,Republican,Donald Trump,705,2.26
Stark,Republican,Ted Cruz,448,2.41
Inyo,Republican,Donald Trump,1414,2.3
Allamakee,Democrat,Hillary Clinton,304,2.36
Jefferson,Republican,Donald Trump,533,2.25
Clark,Democrat,Bernie Sanders,1888,2.43
Erie,Democrat,Hillary Clinton,50199,2.34
Buchanan,Republican,Donald Trump,4691,2.56
Caldwell,Republican,Donald Trump,284,2.46
Wayne,Democrat,Hillary Clinton,163886,2.66
Salt Lake,Democrat,Bernie Sanders,35610,3.01
Stone,Republican,Donald Trump,993,2.41
Kossuth,Democrat,Hillary Clinton,360,2.25
Garrard,Republican,Donald Trump,581,2.66
Fremont,Republican,Ted Cruz,1434,2.76
Marshall,Democrat,Bernie Sanders,2308,2.57
Forsyth,Democrat,Hillary Clinton,24446,2.45
Manistee,Democrat,Bernie Sanders,1646,2.2
Tippah,Republican,Donald Trump,1951,2.56
Power,Republican,Ted Cruz,421,2.99
Somerset,Democrat,Hillary Clinton,19667,2.79
Nelson,Democrat,Hillary Clinton,2395,2.62
Charlevoix,Republican,Donald Trump,1886,2.41
Porter,Republican,Donald Trump,16194,2.63
Boundary,Republican,Ted Cruz,901,2.59
Orangeburg,Democrat,Hillary Clinton,11819,2.59
Sullivan,Republican,Donald Trump,2379,2.46
Irwin,Republican,Donald Trump,869,2.69
Kenton,Democrat,Hillary Clinton,5146,2.56
Jackson,Democrat,Bernie Sanders,1845,2.35
Randolph,Democrat,Bernie Sanders,2492,2.45
Pawnee,Democrat,Bernie Sanders,762,2.59
Cherokee,Democrat,Bernie Sanders,2897,2.68
Pike,Republican,Donald Trump,1241,2.48
Clay,Democrat,Hillary Clinton,960,2.3
Lawrence,Republican,Donald Trump,1201,2.63
Clinton,Democrat,Bernie Sanders,4524,2.63
San Luis Obispo,Republican,Donald Trump,19313,2.5
Clinton,Democrat,Bernie Sanders,1234,2.4
Saint Lawrence,Democrat,Bernie Sanders,4102,2.39
Walthall,Republican,Donald Trump,1143,2.68
Scotland,Democrat,Hillary Clinton,2671,2.63
Drew,Democrat,Hillary Clinton,1250,2.37
Cape Girardeau,Republican,Ted Cruz,7332,2.47
Northampton,Democrat,Hillary Clinton,3195,2.43
Duval,Democrat,Hillary Clinton,58632,2.58
San Diego,Democrat,Hillary Clinton,139813,2.83
Nez Perce,Republican,Ted Cruz,1583,2.41
White,Republican,Donald Trump,1424,2.28
Macon,Democrat,Hillary Clinton,4293,2.29
Calhoun,Republican,Donald Trump,1323,2.46
Harrison,Republican,Donald Trump,755,2.46
Elmore,Republican,Donald Trump,8525,2.62
Dougherty,Democrat,Hillary Clinton,8891,2.53
Fairfax,Democrat,Hillary Clinton,86898,2.8
Lawrence,Republican,Ted Cruz,4235,2.55
Vigo,Republican,Donald Trump,8539,2.49
Treutlen,Republican,Donald Trump,437,2.52
New Castle,Democrat,Hillary Clinton,38580,2.62
Etowah,Republican,Donald Trump,8657,2.55
Clayton,Democrat,Bernie Sanders,408,2.29
Marshall,Republican,Donald Trump,9115,2.7
Pike,Republican,Donald Trump,1649,2.44
DeSoto,Republican,Donald Trump,1445,2.89
Wilcox,Democrat,Hillary Clinton,3337,2.9
Virginia Beach,Democrat,Hillary Clinton,22352,2.62
Door,Democrat,Bernie Sanders,3417,2.04
Benton,Democrat,Hillary Clinton,557,2.69
Chambers,Democrat,Hillary Clinton,2899,2.46
Des Moines,Democrat,Bernie Sanders,1066,2.33
Howard,Republican,Donald Trump,534,2.43
Benton,Republican,Donald Trump,1175,2.53
Chattahoochee,Democrat,Hillary Clinton,182,3.54
Butler,Democrat,Hillary Clinton,2196,2.47
Russell,Republican,Donald Trump,1106,2.4
Buffalo,Democrat,Hillary Clinton,110,3.62
Ohio,Republican,Donald Trump,786,2.49
Logan,Republican,Donald Trump,166,2.28
Wilkinson,Democrat,Hillary Clinton,1269,2.48
Delaware,Democrat,Bernie Sanders,1773,2.47
Sullivan,Democrat,Bernie Sanders,2671,2.46
Buena Vista,Republican,Ted Cruz,309,2.53
Marengo,Democrat,Hillary Clinton,3590,2.42
Tattnall,Republican,Donald Trump,1089,2.62
Nance,Republican,Donald Trump,310,2.33
Davidson,Democrat,Hillary Clinton,43691,2.39
Fleming,Democrat,Bernie Sanders,806,2.6
Shelby,Republican,Donald Trump,579,2.31
Cuming,Republican,Donald Trump,783,2.34
Hot Springs,Democrat,Bernie Sanders,1,2.1
Cleveland,Democrat,Bernie Sanders,16428,2.58
Mineral,Republican,Donald Trump,638,2.53
Woodruff,Democrat,Hillary Clinton,862,2.29
Ogle,Republican,Ted Cruz,4307,2.53
Franklin,Republican,Donald Trump,2155,2.52
Washington,Democrat,Bernie Sanders,12,2.27
Day,Democrat,Hillary Clinton,343,2.19
Union,Democrat,Hillary Clinton,1690,2.37
Schoolcraft,Republican,Donald Trump,529,2.29
Mercer,Democrat,Hillary Clinton,29505,2.67
Chickasaw,Democrat,Hillary Clinton,1398,2.58
Greene,Democrat,Hillary Clinton,215,2.29
Shoshone,Republican,Donald Trump,632,2.17
Frio,Democrat,Hillary Clinton,1864,3.09
Darlington,Democrat,Hillary Clinton,4988,2.52
Clay,Republican,Donald Trump,887,2.71
Taylor,Republican,Donald Trump,140,2.22
Saguache,Democrat,Bernie Sanders,219,2.29
Lafayette,Republican,Donald Trump,556,2.75
Pottawattamie,Democrat,Bernie Sanders,1573,2.49
Stillwater,Republican,Donald Trump,1658,2.4
Dooly,Democrat,Hillary Clinton,737,2.37
Monroe,Republican,Donald Trump,2262,2.66
Summers,Democrat,Bernie Sanders,1060,2.36
Tulare,Republican,Donald Trump,15334,3.35
Greene,Republican,Donald Trump,1088,2.74
Bradley,Republican,Donald Trump,770,2.32
Logan,Democrat,Hillary Clinton,77,2.68
Boone,Democrat,Hillary Clinton,2932,2.78
Steuben,Republican,Donald Trump,3973,2.44
Massac,Republican,Donald Trump,1341,2.48
Wheeler,Republican,Donald Trump,283,2.03
Alamance,Democrat,Hillary Clinton,7374,2.46
Los Alamos,Democrat,Hillary Clinton,1424,2.35
Edgecombe,Democrat,Hillary Clinton,6411,2.6
Cameron,Republican,Donald Trump,216,2.67
Yuma,Republican,Donald Trump,4390,2.73
Perry,Democrat,Hillary Clinton,648,2.61
Maries,Republican,Donald Trump,958,2.4
Sierra,Republican,Donald Trump,497,2.45
Sheridan,Democrat,Bernie Sanders,7,2.29
Phelps,Republican,Donald Trump,963,2.35
Amador,Republican,Donald Trump,3605,2.32
Jasper,Republican,Donald Trump,3903,2.71
Crisp,Republican,Donald Trump,1204,2.61
Toombs,Republican,Donald Trump,1513,2.6
Cook,Republican,Donald Trump,1229,2.67
Newton,Republican,Donald Trump,1073,2.32
Jefferson,Democrat,Hillary Clinton,1671,2.36
Humboldt,Democrat,Bernie Sanders,13245,2.44
Vermilion,Republican,Donald Trump,1460,2.66
Valley,Republican,Donald Trump,1250,2.25
Clay,Republican,Donald Trump,1294,2.45
Prairie,Democrat,Hillary Clinton,558,2.26
Washington,Republican,Donald Trump,1370,2.44
Lawrence,Republican,Donald Trump,1326,2.26
Whiteside,Democrat,Bernie Sanders,3102,2.44
Forrest,Republican,Donald Trump,4267,2.58
Jerauld,Democrat,Hillary Clinton,96,2.28
Bonner,Republican,Ted Cruz,3132,2.32
Garfield,Republican,Donald Trump,357,2.44
Colquitt,Republican,Donald Trump,2967,2.81
Fulton,Democrat,Hillary Clinton,701,2.35
Audubon,Democrat,Hillary Clinton,187,2.18
Boone,Republican,Donald Trump,7023,2.62
Okmulgee,Democrat,Bernie Sanders,1882,2.55
Crawford,Republican,Donald Trump,1162,2.49
Columbia,Republican,Donald Trump,1149,2.43
La Salle,Democrat,Hillary Clinton,557,3.29
Charleston,Democrat,Hillary Clinton,26535,2.41
Natchitoches,Democrat,Hillary Clinton,2545,2.57
Sac,Republican,Donald Trump,212,2.25
Brown,Republican,Donald Trump,2202,2.54
Johnson,Republican,Donald Trump,684,2.71
Lawrence,Republican,Donald Trump,3604,2.52
Buchanan,Democrat,Hillary Clinton,525,2.52
Marion,Republican,Donald Trump,2760,2.41
Logan,Democrat,Bernie Sanders,1131,2.43
Polk,Republican,Donald Trump,1895,2.53
Pearl River,Republican,Donald Trump,4562,2.65
Warren,Republican,Donald Trump,2722,2.57
Vermilion,Republican,Donald Trump,5021,2.51
St. Louis County,Democrat,Hillary Clinton,89373,2.43
Breckinridge,Democrat,Hillary Clinton,877,2.74
Texas,Republican,Donald Trump,2659,2.58
Pasco,Republican,Donald Trump,33536,2.53
Caroline,Democrat,Hillary Clinton,1902,2.56
Hancock,Republican,Donald Trump,4147,2.43
Van Buren,Republican,Ted Cruz,196,2.45
Broadwater,Republican,Donald Trump,1001,2.32
Stephenson,Republican,Ted Cruz,3038,2.4
Lincoln,Democrat,Hillary Clinton,20,2.11
Bear Lake,Republican,Ted Cruz,643,2.42
Tallapoosa,Republican,Donald Trump,4658,2.49
Cleburne,Republican,Donald Trump,2530,2.47
Rensselaer,Democrat,Bernie Sanders,6649,2.39
Crawford,Democrat,Bernie Sanders,1582,2.33
Alcona,Republican,Donald Trump,1111,2.19
Union,Republican,Donald Trump,2691,2.3
Douglas,Republican,Ted Cruz,1764,2.62
Webster,Republican,Ted Cruz,4124,2.8
Tompkins,Democrat,Bernie Sanders,9298,2.31
Keweenaw,Democrat,Bernie Sanders,188,2.08
Antelope,Republican,Donald Trump,772,2.28
Zapata,Democrat,Hillary Clinton,1969,3.17
Putnam,Republican,Donald Trump,1983,2.49
Gallatin,Republican,Donald Trump,8313,2.36
Bryan,Democrat,Bernie Sanders,1913,2.53
Butler,Republican,Donald Trump,910,2.35
Vernon,Republican,Donald Trump,1119,2.76
Jefferson,Democrat,Bernie Sanders,654,2.21
Green,Democrat,Bernie Sanders,4359,2.49
Camden,Republican,Donald Trump,3065,2.69
Appanoose,Republican,Donald Trump,292,2.28
Morgan,Republican,Donald Trump,1656,2.71
Pinal,Republican,Donald Trump,12182,2.87
Powder River,Republican,Donald Trump,516,2.26
Hernando,Republican,Donald Trump,15479,2.44
LaGrange,Republican,Donald Trump,2571,3.13
Campbell,Democrat,Bernie Sanders,12,2.71
Emmet,Democrat,Hillary Clinton,168,2.31
Talladega,Republican,Donald Trump,6304,2.5
Harrison,Democrat,Bernie Sanders,1059,2.56
Webster,Democrat,Hillary Clinton,866,2.28
Ventura,Democrat,Hillary Clinton,45848,3.06
Cibola,Democrat,Hillary Clinton,1586,3.15
Wayne,Republican,Donald Trump,2075,2.34
Johnson,Democrat,Hillary Clinton,1,2.31
Alexander,Democrat,Hillary Clinton,770,2.62
East Baton Rouge,Democrat,Hillary Clinton,32960,2.57
Panola,Democrat,Hillary Clinton,3061,2.86
Wilkes,Republican,Donald Trump,734,2.47
Upson,Republican,Donald Trump,1910,2.55
Roanoke City,Democrat,Hillary Clinton,4783,2.24
Clinton,Republican,Donald Trump,3252,2.76
Linn,Democrat,Bernie Sanders,6331,2.42
Foard,Democrat,Bernie Sanders,112,2.23
Baltimore City,Democrat,Hillary Clinton,81115,2.47
Shiawassee,Democrat,Bernie Sanders,4452,2.52
Rosebud,Republican,Donald Trump,959,2.82
Allendale,Democrat,Hillary Clinton,1022,2.63
Palo Alto,Democrat,Hillary Clinton,213,2.28
Adair,Democrat,Hillary Clinton,168,2.26
Mendocino,Democrat,Bernie Sanders,4654,2.52
Douglas,Democrat,Bernie Sanders,4510,2.25
Greer,Democrat,Bernie Sanders,332,2.24
Moody,Democrat,Hillary Clinton,262,2.34
Washington,Republican,Donald Trump,11970,2.51
Jefferson,Republican,Donald Trump,3077,2.38
Roger Mills,Democrat,Bernie Sanders,268,2.82
Winneshiek,Democrat,Bernie Sanders,616,2.32
Cumberland,Republican,Donald Trump,460,2.59
Manassas Park,Democrat,Hillary Clinton,581,3.41
Fremont,Republican,Donald Trump,182,2.4
Greensville,Democrat,Hillary Clinton,832,2.48
Calhoun,Democrat,Bernie Sanders,503,2.41
Jefferson,Democrat,Hillary Clinton,9936,2.47
Taney,Republican,Donald Trump,5086,2.45
Columbia,Democrat,Bernie Sanders,6455,2.42
Bannock,Republican,Ted Cruz,4404,2.68
Putnam,Republican,Donald Trump,565,2.18
Hughes,Democrat,Bernie Sanders,873,2.47
Holmes,Republican,Donald Trump,1239,2.65
Fayette,Democrat,Bernie Sanders,3585,2.54
Crawford,Republican,Donald Trump,1108,2.37
Quitman,Democrat,Hillary Clinton,986,2.53
Richland,Republican,Donald Trump,1469,2.41
Bulloch,Republican,Donald Trump,3111,2.61
Jennings,Republican,Donald Trump,3361,2.63
Rock,Democrat,Bernie Sanders,17337,2.48
LaPorte,Republican,Donald Trump,9494,2.41
Carroll,Republican,Marco Rubio,0,2.47
Dodge,Republican,Donald Trump,2760,2.34
Lunenburg,Democrat,Hillary Clinton,738,2.48
Greenwood,Democrat,Hillary Clinton,3588,2.49
Breathitt,Democrat,Bernie Sanders,1716,2.52
Adair,Republican,Donald Trump,1512,2.44
Oconee,Republican,Donald Trump,2871,2.88
El Paso,Democrat,Hillary Clinton,36067,3.13
Tishomingo,Republican,Donald Trump,1854,2.52
Appling,Republican,Donald Trump,1290,2.59
Phillips,Democrat,Bernie Sanders,18,2.59
Cheyenne,Republican,Donald Trump,1130,2.25
Passaic,Democrat,Hillary Clinton,29538,3.03
Baraga,Republican,Donald Trump,468,2.07
Custer,Democrat,Bernie Sanders,45,2.06
McLean,Republican,Ted Cruz,13085,2.54
Douglas,Republican,Donald Trump,1657,2.61
Montgomery,Democrat,Hillary Clinton,109304,2.72
Cameron,Democrat,Hillary Clinton,20326,3.46
Clay,Democrat,Bernie Sanders,754,2.7
Calhoun,Democrat,Hillary Clinton,499,2.19
Iron,Republican,Donald Trump,800,2.45
Jim Wells,Democrat,Hillary Clinton,4688,2.96
Pendleton,Democrat,Bernie Sanders,546,2.71
Crook,Democrat,Bernie Sanders,1,2.34
Chatham,Democrat,Hillary Clinton,19898,2.55
Brooks,Republican,Donald Trump,1009,2.39
Arapahoe,Democrat,Bernie Sanders,6086,2.58
Catoosa,Republican,Donald Trump,4449,2.68
Kimball,Republican,Donald Trump,439,2.27
Prince George's,Democrat,Hillary Clinton,113912,2.81
Clay,Democrat,Hillary Clinton,2372,2.61
Menifee,Democrat,Bernie Sanders,323,2.58
Butts,Republican,Donald Trump,1884,2.74
Heard,Republican,Donald Trump,1068,2.68
Jasper,Democrat,Hillary Clinton,927,2.34
Brown,Republican,Donald Trump,555,2.02
Greene,Republican,Donald Trump,1555,2.5
Albemarle,Democrat,Hillary Clinton,8284,2.47
Wabash,Republican,Donald Trump,977,2.45
DeSoto,Democrat,Hillary Clinton,1508,2.58
Rockdale,Democrat,Hillary Clinton,7930,2.89
Dade,Republican,Ted Cruz,997,2.39
Garland,Republican,Donald Trump,5538,2.37
Pecos,Democrat,Hillary Clinton,816,2.89
McKinley,Democrat,Hillary Clinton,4761,4.1
Rowan,Democrat,Bernie Sanders,1363,2.49
San Bernardino,Democrat,Hillary Clinton,71246,3.33
Will,Democrat,Bernie Sanders,46305,3.02
Knox,Republican,Donald Trump,1285,2.53
Pettis,Republican,Donald Trump,3343,2.55
Floyd,Democrat,Hillary Clinton,453,2.26
Worth,Republican,Donald Trump,1890,2.74
Aurora,Democrat,Hillary Clinton,150,2.36
Itawamba,Republican,Donald Trump,1905,2.53
Avoyelles,Democrat,Hillary Clinton,1181,2.49
Conway,Democrat,Hillary Clinton,1755,2.57
Elbert,Republican,Donald Trump,1394,2.57
Gordon,Republican,Donald Trump,4339,2.88
Franklin,Republican,Donald Trump,3130,2.42
East Feliciana,Democrat,Hillary Clinton,1847,2.54
Gilmer,Republican,Donald Trump,3314,2.44
Marion,Republican,Ted Cruz,2263,2.42
Pike,Republican,Donald Trump,511,2.55
Dallas,Democrat,Hillary Clinton,8577,2.63
Cleveland,Democrat,Hillary Clinton,4880,2.53
Pemiscot,Republican,Donald Trump,1155,2.58
Dickinson,Democrat,Bernie Sanders,358,2.07
Scott,Republican,Donald Trump,1929,2.66
Ottawa,Republican,Ted Cruz,23862,2.73
Morgan,Republican,Donald Trump,10235,2.67
Taylor,Republican,Donald Trump,1203,2.55
Henry,Republican,Donald Trump,1636,2.29
Richmond,Democrat,Hillary Clinton,333,2.56
Noxubee,Democrat,Hillary Clinton,1397,2.66
Perry,Democrat,Bernie Sanders,1666,2.58
Evangeline,Democrat,Hillary Clinton,1319,2.64
Schuyler,Republican,Donald Trump,428,2.45
Sheridan,Democrat,Hillary Clinton,7,2.29
Eau Claire,Democrat,Bernie Sanders,13058,2.39
Union,Democrat,Hillary Clinton,40972,2.88
Hart,Republican,Donald Trump,1858,2.45
Okaloosa,Republican,Donald Trump,17770,2.47
Trigg,Democrat,Bernie Sanders,715,2.38
Lincoln,Republican,Donald Trump,3073,2.18
Tehama,Republican,Donald Trump,3940,2.66
Tangipahoa,Democrat,Hillary Clinton,4267,2.69
Miner,Democrat,Hillary Clinton,109,2.18
Washington,Democrat,Hillary Clinton,9110,2.53
Rabun,Republican,Donald Trump,1732,2.28
Iberville,Democrat,Hillary Clinton,3699,2.64
Atkinson,Republican,Donald Trump,619,3.0
