"county","party","candidate","votes","persons_per_household"
Union,Republican,Donald Trump,875,2.49
Kalamazoo,Democrat,Bernie Sanders,20146,2.44
Callaway,Republican,Ted Cruz,3261,2.45
Lafayette,Republican,Donald Trump,2521,2.77
Sauk,Democrat,Bernie Sanders,7195,2.44
Payette,Republican,Ted Cruz,1364,2.79
Ravalli,Republican,Donald Trump,6281,2.37
Queens,Democrat,Hillary Clinton,122386,2.86
Black Hawk,Democrat,Bernie Sanders,3647,2.4
Grundy,Republican,Ted Cruz,272,2.42
Johnson,Republican,Donald Trump,3035,2.45
Sheridan,Republican,Donald Trump,499,2.09
Siskiyou,Republican,Donald Trump,3573,2.26
Independence,Republican,Donald Trump,2077,2.46
Kiowa,Democrat,Hillary Clinton,5,2.49
Livingston,Republican,Donald Trump,15359,2.68
Rockland,Democrat,Hillary Clinton,16966,3.13
Todd,Democrat,Bernie Sanders,524,3.62
Pike,Democrat,Hillary Clinton,2870,2.7
Idaho County,Republican,Donald Trump,1668,2.4
Jessamine,Democrat,Bernie Sanders,2113,2.63
Butte,Republican,Ted Cruz,275,2.68
Calhoun,Democrat,Hillary Clinton,200,2.15
Reynolds,Republican,Donald Trump,647,2.44
Crenshaw,Republican,Donald Trump,1496,2.46
Putnam,Republican,Donald Trump,4087,2.6
Calhoun,Democrat,Bernie Sanders,5810,2.47
St. Charles,Democrat,Hillary Clinton,2245,2.81
Otsego,Republican,Donald Trump,1933,2.42
Coosa,Republican,Donald Trump,1233,2.42
Trimble,Democrat,Bernie Sanders,542,2.5
Wright,Republican,Donald Trump,1874,2.52
Missaukee,Republican,Donald Trump,1221,2.5
Poweshiek,Democrat,Bernie Sanders,475,2.28
Swain,Democrat,Bernie Sanders,831,2.56
Vermillion,Republican,Donald Trump,1748,2.45
Sharkey,Democrat,Hillary Clinton,645,2.75
Shasta,Republican,Donald Trump,14822,2.54
Scott,Democrat,Hillary Clinton,2013,2.88
Phillips,Democrat,Hillary Clinton,2696,2.52
Quitman,Democrat,Hillary Clinton,193,2.57
Jackson,Republican,Donald Trump,582,2.33
Yazoo,Democrat,Hillary Clinton,2203,2.83
Yuma,Democrat,Hillary Clinton,45,2.61
Howell,Republican,Donald Trump,4230,2.52
Charlottesville,Democrat,Bernie Sanders,4474,2.33
Fremont,Democrat,Hillary Clinton,10,2.58
Morehouse,Democrat,Hillary Clinton,1513,2.55
Randolph,Republican,Donald Trump,1917,2.5
Barbour,Democrat,Hillary Clinton,2567,2.66
Johnson,Democrat,Bernie Sanders,5473,2.33
Woodbury,Democrat,Bernie Sanders,1920,2.57
Pottawatomie,Democrat,Bernie Sanders,3400,2.6
Ripley,Republican,Donald Trump,3694,2.62
Crawford,Republican,Ted Cruz,3926,2.62
Oneida,Republican,Ted Cruz,473,2.67
Macon,Democrat,Hillary Clinton,977,2.64
Craig,Democrat,Bernie Sanders,926,2.46
Calloway,Democrat,Bernie Sanders,2239,2.28
Taylor,Democrat,Hillary Clinton,949,2.43
Muskegon,Democrat,Bernie Sanders,10062,2.54
Carroll,Republican,John Kasich,0,2.47
