"county","party","candidate","votes","veterans_factor"
Buncombe,Democrat,Bernie Sanders,30913,0.08
Marshall,Democrat,Hillary Clinton,3361,0.06
Hickory,Republican,Donald Trump,297,0.14
Staunton,Democrat,Bernie Sanders,1364,0.07
Cooper,Republican,Ted Cruz,1369,0.08
Clay,Republican,Ted Cruz,13559,0.08
Maries,Republican,Donald Trump,958,0.10
Gilchrist,Republican,Donald Trump,1860,0.11
Gulf,Republican,Donald Trump,1038,0.09
Boone,Democrat,Hillary Clinton,2932,0.07
Pottawattamie,Democrat,Bernie Sanders,1573,0.08
Black Hawk,Democrat,Bernie Sanders,3647,0.07
Grand,Democrat,Bernie Sanders,187,0.10
Loup,Republican,Donald Trump,101,0.11
Burt,Republican,Donald Trump,603,0.10
Bay,Republican,Donald Trump,14426,0.12
Frontier,Republican,Donald Trump,315,0.10
Garfield,Republican,Donald Trump,227,0.09
Chattooga,Republican,Donald Trump,1674,0.06
Trinity,Republican,Donald Trump,1026,0.13
Winnebago,Democrat,Bernie Sanders,17818,0.08
Jefferson,Republican,Donald Trump,3281,0.09
Santa Rosa,Republican,Donald Trump,16044,0.13
Otsego,Democrat,Bernie Sanders,2623,0.09
Darlington,Democrat,Hillary Clinton,4988,0.07
Grayson,Republican,Donald Trump,749,0.07
Cullman,Republican,Donald Trump,10618,0.08
Owen,Republican,Donald Trump,2679,0.10
Lucas,Republican,Ted Cruz,213,0.08
Talbot,Democrat,Hillary Clinton,852,0.08
Benzie,Democrat,Bernie Sanders,1650,0.11
Suwannee,Republican,Donald Trump,2844,0.10
Dale,Republican,Donald Trump,4151,0.14
Bibb,Republican,Donald Trump,1959,0.06
Floyd,Democrat,Hillary Clinton,453,0.09
Carroll,Republican,John Kasich,0,0.11
Newaygo,Republican,Ted Cruz,3557,0.09
Talladega,Republican,Donald Trump,6304,0.08
Liberty,Democrat,Bernie Sanders,392,0.08
Towns,Republican,Donald Trump,1356,0.12
Sheridan,Democrat,Hillary Clinton,7,0.10
Guthrie,Democrat,Hillary Clinton,220,0.08
Manassas Park,Democrat,Hillary Clinton,581,0.06
McDuffie,Republican,Donald Trump,1288,0.05
Caddo,Democrat,Hillary Clinton,16666,0.08
Greene,Republican,Donald Trump,4491,0.09
Kossuth,Democrat,Hillary Clinton,360,0.09
Jefferson,Democrat,Hillary Clinton,17581,0.06
Breckinridge,Democrat,Hillary Clinton,877,0.09
Clay,Democrat,Bernie Sanders,303,0.08
Natchitoches,Democrat,Hillary Clinton,2545,0.06
Suffolk,Democrat,Hillary Clinton,7533,0.12
Sheridan,Democrat,Bernie Sanders,7,0.10
Richland,Democrat,Bernie Sanders,1784,0.08
Carroll,Democrat,Hillary Clinton,504,0.07
Nez Perce,Republican,Ted Cruz,1583,0.10
Champaign,Democrat,Bernie Sanders,20581,0.05
Bell,Republican,Donald Trump,692,0.06
Mono,Democrat,Bernie Sanders,917,0.06
Hidalgo,Democrat,Hillary Clinton,515,0.07
DeSoto,Democrat,Hillary Clinton,1508,0.08
McCracken,Democrat,Bernie Sanders,3541,0.09
Jackson,Democrat,Bernie Sanders,1845,0.09
Hale,Democrat,Hillary Clinton,2426,0.07
Columbia,Republican,Donald Trump,1149,0.06
Sharkey,Democrat,Hillary Clinton,645,0.06
Woodruff,Democrat,Hillary Clinton,862,0.08
White,Republican,Donald Trump,1424,0.10
Boyle,Democrat,Hillary Clinton,1648,0.07
Burlington,Democrat,Hillary Clinton,32712,0.08
Pointe Coupee,Democrat,Hillary Clinton,1680,0.06
Colquitt,Republican,Donald Trump,2967,0.05
Randolph,Democrat,Hillary Clinton,690,0.08
Putnam,Republican,Donald Trump,1983,0.10
Chase,Republican,Donald Trump,476,0.07
