"county";"party";"density"
Autauga;Republican;91.8
Baldwin;Republican;114.6
Barbour;Democrat;31.0
Bibb;Republican;36.8
Blount;Republican;88.9
Bullock;Democrat;17.5
Butler;Democrat;27.0
Calhoun;Republican;195.7
Chambers;Democrat;57.4
Cherokee;Republican;46.9
Chilton;Republican;63.0
Choctaw;Democrat;15.2
Clarke;Democrat;20.9
Clay;Republican;23.1
Cleburne;Republican;26.7
Coffee;Republican;73.6
Colbert;Democrat;91.8
Conecuh;Democrat;15.6
Coosa;Republican;17.7
Covington;Republican;36.6
Crenshaw;Republican;22.8
Cullman;Republican;109.4
Dale;Republican;89.6
Dallas;Democrat;44.8
DeKalb;Republican;91.5
Elmore;Republican;128.2
Escambia;Republican;40.5
Etowah;Republican;195.2
Fayette;Republican;27.5
Franklin;Republican;50.0
Geneva;Republican;46.6
Greene;Democrat;14.0
Hale;Democrat;24.5
Henry;Republican;30.8
Houston;Republican;175.1
Jackson;Republican;49.4
Jefferson;Democrat;592.5
Lamar;Republican;24.1
Lauderdale;Republican;138.8
Lawrence;Republican;49.7
Lee;Democrat;230.8
Limestone;Republican;147.8
Lowndes;Democrat;15.8
Macon;Democrat;35.2
Madison;Republican;417.7
Marengo;Democrat;21.5
Marion;Republican;41.5
Marshall;Republican;164.4
Mobile;Democrat;335.9
Monroe;Democrat;22.5
Montgomery;Democrat;292.5
Morgan;Republican;206.3
Perry;Democrat;14.7
Pickens;Democrat;22.4
Pike;Republican;48.9
Randolph;Republican;39.5
Russell;Democrat;82.6
St. Clair;Republican;132.3
Shelby;Republican;248.5
Sumter;Democrat;15.2
Talladega;Republican;111.7
Tallapoosa;Republican;58.1
Tuscaloosa;Democrat;147.3
Walker;Republican;84.7
Washington;Democrat;16.3
Wilcox;Democrat;13.1
Winston;Republican;39.9
Apache;Democrat;6.4
Cochise;Republican;21.3
Coconino;Democrat;7.2
Gila;Republican;11.3
Graham;Republican;8.1
Greenlee;Democrat;4.6
La Paz;Republican;4.6
Maricopa;Republican;414.9
Mohave;Republican;15.0
Navajo;Democrat;10.8
Pima;Democrat;106.7
Pinal;Republican;70.0
Santa Cruz;Democrat;38.3
Yavapai;Republican;26.0
Yuma;Republican;35.5
Arkansas;Republican;19.2
Ashley;Democrat;23.6
Baxter;Republican;74.9
Benton;Republican;261.2
Boone;Republican;62.5
Bradley;Republican;17.7
Calhoun;Democrat;8.5
Carroll;Republican;43.6
Carroll;Republican;43.6
Carroll;Republican;43.6
Carroll;Republican;43.6
Carroll;Democrat;43.6
Carroll;Democrat;43.6
Carroll;Republican;43.6
Chicot;Democrat;18.3
Clark;Democrat;26.6
Clay;Democrat;25.2
Cleburne;Republican;46.9
Cleveland;Republican;14.5
Columbia;Republican;32.1
Conway;Democrat;38.5
Craighead;Republican;136.4
Crawford;Republican;104.4
Crittenden;Democrat;83.5
Cross;Republican;29.0
Dallas;Democrat;12.2
Desha;Democrat;16.9
Drew;Democrat;22.3
Faulkner;Republican;174.8
Franklin;Republican;29.8
Fulton;Democrat;19.8
Garland;Republican;141.7
Grant;Republican;28.3
Greene;Republican;72.9
Hempstead;Republican;31.1
Hot Spring;Republican;53.5
Howard;Republican;23.4
Independence;Republican;48.0
Izard;Republican;23.6
Jackson;Republican;28.4
Jefferson;Democrat;88.9
Johnson;Republican;38.7
Lafayette;Democrat;14.5
Lawrence;Democrat;29.6
Lee;Democrat;17.3
Lincoln;Democrat;25.2
Little River;Democrat;24.7
Logan;Republican;31.6
Lonoke;Republican;88.7
Madison;Democrat;18.8
Marion;Republican;27.9
Miller;Republican;69.5
Mississippi;Democrat;51.6
Monroe;Democrat;13.4
Montgomery;Republican;12.2
Nevada;Democrat;14.6
Newton;Republican;10.1
Ouachita;Democrat;35.6
Perry;Democrat;18.9
Phillips;Democrat;31.3
Pike;Republican;18.8
Poinsett;Republican;32.4
Polk;Republican;24.1
Pope;Republican;76.0
Prairie;Democrat;13.4
Pulaski;Democrat;503.8
Randolph;Republican;27.6
Saint Francis;Democrat;44.5
Saline;Republican;148.0
Scott;Republican;12.6
Searcy;Republican;12.3
Sebastian;Republican;236.4
Sevier;Republican;30.2
Sharp;Republican;28.6
Stone;Republican;20.4
Union;Democrat;40.1
Van Buren;Republican;24.4
Washington;Democrat;215.6
White;Republican;74.5
Woodruff;Democrat;12.4
Yell;Republican;23.9
Alameda;Democrat;2043.6
Alpine;Democrat;1.6
Amador;Republican;64.1
Butte;Republican;134.4
Calaveras;Republican;44.7
Colusa;Republican;18.6
Contra Costa;Democrat;1465.2
Del Norte;Republican;28.4
El Dorado;Republican;106.0
Fresno;Republican;156.2
Glenn;Republican;21.4
Humboldt;Democrat;37.7
Imperial;Democrat;41.8
Inyo;Republican;1.8
Kern;Republican;103.3
Kings;Republican;110.1
Lake;Democrat;51.5
Lassen;Republican;7.7
Los Angeles;Democrat;2419.6
Madera;Republican;70.6
Marin;Democrat;485.1
Mariposa;Republican;12.6
Mendocino;Democrat;25.1
Merced;Democrat;132.2
Modoc;Republican;2.5
Mono;Democrat;4.7
Monterey;Democrat;126.5
Napa;Democrat;182.4
Nevada;Democrat;103.1
Orange;Republican;3807.7
Placer;Republican;247.6
Plumas;Republican;7.8
Riverside;Republican;303.8
Sacramento;Democrat;1470.8
San Benito;Democrat;39.8
San Bernardino;Democrat;101.5
San Diego;Democrat;735.8
San Francisco;Democrat;17179.1
San Joaquin;Democrat;492.6
San Luis Obispo;Republican;81.7
San Mateo;Democrat;1602.2
Santa Barbara;Democrat;155.0
Santa Clara;Democrat;1381.0
Santa Cruz;Democrat;589.4
Shasta;Republican;46.9
Sierra;Republican;3.4
Siskiyou;Republican;7.2
Solano;Democrat;503.0
Sonoma;Democrat;307.1
Stanislaus;Republican;344.2
Sutter;Republican;157.3
Tehama;Republican;21.5
Trinity;Republican;4.3
Tulare;Republican;91.7
Tuolumne;Republican;24.9
Ventura;Democrat;446.7
Yolo;Democrat;197.9
Yuba;Republican;114.2
Adams;Democrat;378.2
Alamosa;Democrat;21.4
Arapahoe;Democrat;716.7
Archuleta;Democrat;8.9
Baca;Democrat;1.5
Bent;Democrat;4.3
Boulder;Democrat;405.6
Broomfield;Democrat;1691.9
Chaffee;Democrat;17.6
Cheyenne;Democrat;1.0
Clear Creek;Democrat;23.0
Conejos;Democrat;6.4
Costilla;Democrat;2.9
Crowley;Democrat;7.4
