"fips";"county";"party";"STATE";"POPULATION";"DENSITY";"ALL RACES";"WHITE";"BLACK";"NATIVE";"ASIAN";"WHITE+LATINO"
26045;Eaton;Democrat;MI;108579;187.3;97.6;88.1;7.0;0.5;2.0;88.89999999999999
26055;Grand Traverse;Democrat;MI;90782;187.3;98.2;94.9;1.3;1.2;0.7;95.4
18091;LaPorte;Republican;IN;111444;186.3;97.9;85.5;11.4;0.4;0.6;86.19999999999999
48187;Guadalupe;Republican;TX;147250;184.9;97.60000000000001;86.8;7.9;1.0;1.7;89.2
28081;Lee;Republican;MS;85246;184.3;98.7;69.0;28.7;0.2;0.8;69.4
13225;Peach;Democrat;GA;26922;184.3;98.19999999999999;51.5;45.1;0.5;1.0;52.599999999999994
55127;Walworth;Republican;WI;103527;184.2;98.99999999999999;96.0;1.3;0.5;1.1;96.69999999999999
29097;Jasper;Republican;MO;117543;183.9;97.1;91.2;2.4;1.8;1.1;92.4
54049;Marion;Democrat;WV;56803;182.7;98.49999999999999;94.1;3.5;0.3;0.6;94.2
28121;Rankin;Republican;MS;148070;182.6;98.9;77.2;20.2;0.2;1.2;77.6
6055;Napa;Democrat;CA;141667;182.4;96.9;84.8;2.4;1.2;8.1;87.4
22019;Calcasieu;Democrat;LA;197204;181.2;98.19999999999999;71.0;25.3;0.5;1.3;71.69999999999999
37151;Randolph;Republican;NC;142778;181.1;98.39999999999999;89.8;6.3;1.0;1.2;91.19999999999999
47141;Putnam;Republican;TN;74165;180.3;98.6;94.0;2.4;0.8;1.3;94.89999999999999
37023;Burke;Republican;NC;89486;179.3;98.4;86.4;6.8;0.8;3.7;87.89999999999999
37139;Pasquotank;Democrat;NC;39787;179.2;97.89999999999999;58.5;37.3;0.5;1.5;59.6
37181;Vance;Democrat;NC;44614;179.2;98.5;46.4;50.9;0.7;0.5;48.1
13157;Jackson;Republican;GA;61870;178.1;98.4;88.8;7.2;0.4;1.9;89.4
13219;Oconee;Republican;GA;35093;178.0;98.60000000000001;89.0;5.4;0.3;3.9;89.5
13009;Baldwin;Democrat;GA;45909;177.3;98.79999999999998;54.9;41.8;0.3;1.7;55.4
37127;Nash;Democrat;NC;94357;177.3;98.1;56.8;39.4;0.9;1.0;58.2
24001;Allegany;Republican;MD;72952;177.0;98.3;88.8;8.2;0.2;1.0;89.0
47113;Madison;Democrat;TN;98178;176.4;98.49999999999999;59.8;37.3;0.3;1.1;60.4
