"county","party","candidate","votes","above_65"
Garrard,Republican,Donald Trump,581,16.4
Ziebach,Democrat,Bernie Sanders,132,6.7
Johnson,Republican,Donald Trump,326,16.9
St. Lucie,Republican,Donald Trump,18350,22.6
Attala,Democrat,Hillary Clinton,1519,19.5
Moody,Democrat,Hillary Clinton,262,17.1
Washington,Democrat,Hillary Clinton,1741,16.0
Teton,Republican,Ted Cruz,465,8.6
Henry,Republican,Donald Trump,5714,18.0
Paulding,Republican,Donald Trump,10002,9.5
Jefferson,Democrat,Bernie Sanders,347,19.5
Morgan,Republican,Donald Trump,10909,15.9
Dawson,Republican,Donald Trump,1685,16.8
Covington,Republican,Donald Trump,4608,19.8
Barren,Democrat,Bernie Sanders,2653,16.8
Chouteau,Republican,Donald Trump,865,18.1
Cedar,Democrat,Bernie Sanders,445,18.4
Dent,Republican,Donald Trump,1688,20.3
Uvalde,Democrat,Hillary Clinton,1740,16.0
Barry,Republican,Ted Cruz,3189,20.2
Newton,Republican,Donald Trump,1073,24.3
Gentry,Republican,Donald Trump,435,19.7
Floyd,Republican,Donald Trump,5945,15.7
Crockett,Democrat,Hillary Clinton,266,15.1
Brunswick,Democrat,Hillary Clinton,1354,19.2
Santa Fe,Democrat,Hillary Clinton,16087,19.6
Leflore,Democrat,Hillary Clinton,2094,12.6
Hillsborough,Democrat,Hillary Clinton,68936,13.1
Iron,Republican,Donald Trump,800,18.7
Calvert,Republican,Donald Trump,6360,13.0
Lassen,Republican,Donald Trump,2508,12.5
Jackson,Republican,Donald Trump,8113,16.0
Chambers,Democrat,Hillary Clinton,2899,18.3
Campbell,Democrat,Bernie Sanders,12,7.1
Clare,Republican,Donald Trump,1996,21.8
Panola,Democrat,Hillary Clinton,3061,14.2
Charlottesville,Democrat,Bernie Sanders,4474,9.5
Iroquois,Republican,Donald Trump,2836,20.4
Monroe,Republican,Donald Trump,8802,15.7
Perry,Republican,Donald Trump,1461,17.3
Merced,Democrat,Hillary Clinton,7169,10.5
Martin,Republican,Donald Trump,586,13.3
Carter,Democrat,Bernie Sanders,2113,15.6
O'Brien,Republican,Ted Cruz,347,20.6
