"county","party","candidate","votes","above_65"
Boone,Republican,Donald Trump,7023,12.6
Weston,Democrat,Hillary Clinton,1,18.1
Livingston,Republican,Donald Trump,1191,19.3
Wexford,Republican,Donald Trump,2578,17.6
Monroe,Democrat,Hillary Clinton,1191,21.7
Fayette,Democrat,Hillary Clinton,525,20.4
Inyo,Republican,Donald Trump,1414,21.4
Pawnee,Republican,Donald Trump,225,25.6
El Dorado,Republican,Donald Trump,17651,18.0
Twiggs,Democrat,Hillary Clinton,818,19.6
Dawson,Republican,Donald Trump,1950,15.0
Smith,Republican,Donald Trump,1820,17.2
Minidoka,Republican,Ted Cruz,1163,15.5
Stillwater,Republican,Donald Trump,1658,20.1
Webster,Democrat,Bernie Sanders,837,21.5
Jeff Davis,Democrat,Hillary Clinton,1806,19.3
Kalamazoo,Democrat,Bernie Sanders,20146,13.5
Fergus,Republican,Donald Trump,1975,23.0
DeKalb,Republican,Donald Trump,4203,14.8
Fannin,Republican,Donald Trump,3001,25.6
Union,Democrat,Bernie Sanders,268,18.9
Fleming,Democrat,Bernie Sanders,806,16.2
Crawford,Republican,Donald Trump,2189,17.8
Antrim,Republican,Donald Trump,1969,25.2
Las Animas,Democrat,Bernie Sanders,106,22.3
Leslie,Republican,Donald Trump,503,16.2
Garfield,Republican,Donald Trump,227,26.9
Cherry,Republican,Donald Trump,1220,21.4
Bibb,Democrat,Hillary Clinton,12944,14.0
Davidson,Democrat,Hillary Clinton,43691,11.1
Washington,Republican,Ted Cruz,783,22.7
Cherokee,Republican,Donald Trump,2777,20.9
Lunenburg,Democrat,Hillary Clinton,738,19.7
Monroe,Republican,Donald Trump,805,18.4
Chattooga,Republican,Donald Trump,1674,16.5
Tuolumne,Republican,Donald Trump,4949,23.5
Bullitt,Democrat,Bernie Sanders,3210,13.6
Macon,Republican,Donald Trump,6655,17.9
Escambia,Republican,Donald Trump,2817,16.7
Northampton,Democrat,Hillary Clinton,3195,23.0
Monona,Republican,Ted Cruz,185,24.6
Pinal,Republican,Donald Trump,12182,18.0
Madison,Democrat,Hillary Clinton,1085,17.5
Boone,Democrat,Bernie Sanders,15076,10.5
Loudoun,Democrat,Hillary Clinton,21171,7.9
Oneida,Republican,Ted Cruz,473,19.3
Vanderburgh,Republican,Donald Trump,14544,15.2
Pecos,Democrat,Hillary Clinton,816,12.4
Henry,Republican,Donald Trump,3021,18.5
Bay,Democrat,Bernie Sanders,6363,18.3
Rensselaer,Democrat,Bernie Sanders,6649,15.2
Alexandria,Democrat,Hillary Clinton,16281,10.1
Jackson,Democrat,Hillary Clinton,450,19.8
Mineral,Democrat,Bernie Sanders,25,26.5
Mahaska,Republican,Ted Cruz,669,16.9
Tuscola,Republican,Donald Trump,3750,18.3
Fremont,Democrat,Hillary Clinton,10,16.2
Rock Island,Democrat,Hillary Clinton,10216,17.6
Lake,Democrat,Bernie Sanders,165,11.0
Washington,Democrat,Bernie Sanders,12,20.8
Howard,Republican,Donald Trump,559,16.9
Custer,Republican,Donald Trump,1363,18.7
McCracken,Democrat,Bernie Sanders,3541,18.2
Carroll,Republican,Donald Trump,1133,21.0
Carbon,Democrat,Hillary Clinton,4,13.8
Crawford,Republican,Donald Trump,1108,24.0
Honolulu,Democrat,Bernie Sanders,11458,15.8
Benton,Republican,Marco Rubio,12863,13.0
Grundy,Republican,Ted Cruz,272,19.8
Hamilton,Republican,Donald Trump,766,20.2
Emmet,Democrat,Hillary Clinton,168,19.2
Pendleton,Democrat,Bernie Sanders,546,14.5
Worth,Republican,Donald Trump,224,24.3
Haskell,Democrat,Bernie Sanders,752,19.8
Monroe,Democrat,Hillary Clinton,37309,15.5
Vermilion,Republican,Donald Trump,1460,13.9
Kern,Republican,Donald Trump,33838,9.9
Greenwood,Democrat,Hillary Clinton,3588,17.1
Lackawanna,Democrat,Hillary Clinton,22971,18.8
Chatham,Democrat,Hillary Clinton,19898,13.6
