"county","party","candidate","votes","more_language"
Bibb,Democrat,Hillary Clinton,12944,5.1
Clay,Republican,Donald Trump,1920,3.3
Gwinnett,Democrat,Hillary Clinton,37465,33.0
Douglas,Republican,Ted Cruz,1764,19.0
Sauk,Democrat,Bernie Sanders,7195,6.3
Kearney,Republican,Donald Trump,614,4.8
Jefferson,Democrat,Hillary Clinton,17581,16.8
Phelps,Republican,Donald Trump,3425,5.1
Madison,Republican,Ted Cruz,452,1.8
Vernon,Republican,Donald Trump,1119,7.8
Monroe,Republican,Ted Cruz,195,5.1
Carroll,Republican,Donald Trump,7495,7.7
Routt,Democrat,Bernie Sanders,406,4.7
Jones,Republican,Donald Trump,6388,5.3
Ben Hill,Republican,Donald Trump,1020,3.2
Richland,Democrat,Hillary Clinton,696,0.8
Floyd,Republican,Donald Trump,7456,4.2
Murray,Democrat,Bernie Sanders,909,4.4
Baltimore City,Democrat,Hillary Clinton,81115,8.8
Harrison,Republican,Donald Trump,4326,2.0
Allegan,Republican,Ted Cruz,7530,5.7
Granville,Democrat,Hillary Clinton,4693,7.1
Winnebago,Democrat,Bernie Sanders,230,6.0
Adair,Republican,Donald Trump,1404,4.8
Allen,Republican,Donald Trump,640,5.3
Ripley,Republican,Donald Trump,3694,2.5
Bibb,Republican,Donald Trump,1959,2.1
Latimer,Democrat,Bernie Sanders,852,2.8
Alger,Democrat,Bernie Sanders,622,3.2
Frio,Democrat,Hillary Clinton,1864,60.5
St. Mary,Democrat,Hillary Clinton,1995,10.3
Tippecanoe,Republican,Donald Trump,10296,14.4
McCone,Republican,Donald Trump,410,0.9
Benton,Republican,Donald Trump,2278,2.1
McPherson,Republican,Donald Trump,114,1.7
Cassia,Republican,Ted Cruz,2095,19.4
Sedgwick,Democrat,Hillary Clinton,13,10.3
Iron,Republican,Donald Trump,800,1.7
McLean,Republican,Ted Cruz,13085,7.5
Delta,Republican,Donald Trump,1954,2.3
Spencer,Democrat,Bernie Sanders,806,2.4
Hancock,Republican,Donald Trump,9520,2.2
Marshall,Republican,Donald Trump,9115,11.5
Barren,Democrat,Bernie Sanders,2653,3.3
Kauai,Democrat,Bernie Sanders,2049,20.9
Blaine,Republican,Donald Trump,99,0.7
Rock Island,Democrat,Hillary Clinton,10216,11.5
Garfield,Republican,Donald Trump,227,1.4
Caribou,Republican,Ted Cruz,602,3.3
Lenoir,Democrat,Hillary Clinton,4731,6.7
Pearl River,Republican,Donald Trump,4562,2.2
Yuma,Democrat,Hillary Clinton,45,15.5
Sullivan,Republican,Donald Trump,510,16.7
Clay,Democrat,Hillary Clinton,2372,1.9
Montrose,Democrat,Bernie Sanders,258,13.3
Edmonson,Republican,Donald Trump,531,2.7
Page,Republican,Ted Cruz,249,3.4
Charlotte,Republican,Donald Trump,16525,11.0
Sumter,Democrat,Hillary Clinton,1960,7.2
Leslie,Republican,Donald Trump,503,0.3
Clay,Republican,Donald Trump,1294,1.7
Williamson,Republican,Donald Trump,4929,2.9
Madison,Republican,Donald Trump,1412,2.3
Middlesex,Democrat,Hillary Clinton,47978,41.8
Monroe,Democrat,Hillary Clinton,2438,1.3
Reeves,Democrat,Hillary Clinton,1128,62.1
Haskell,Democrat,Bernie Sanders,752,2.8
St. Joseph,Republican,Donald Trump,19059,9.6
Stanislaus,Republican,Donald Trump,15390,40.7
Bernalillo,Democrat,Bernie Sanders,38247,31.0
Mora,Democrat,Hillary Clinton,986,60.3
Greenup,Democrat,Bernie Sanders,1655,1.4
Watauga,Democrat,Bernie Sanders,5811,5.3
Poinsett,Republican,Donald Trump,1036,2.3
Champaign,Democrat,Bernie Sanders,20581,15.9
Woodruff,Democrat,Hillary Clinton,862,0.5
Conway,Democrat,Hillary Clinton,1755,4.5
Walthall,Republican,Donald Trump,1143,2.1
Cook,Republican,Donald Trump,1229,6.0
Lyon,Republican,Ted Cruz,432,2.0
Volusia,Republican,Donald Trump,34167,12.7
White,Republican,Donald Trump,2715,2.6
Calhoun,Democrat,Bernie Sanders,545,6.0
Richland,Republican,Donald Trump,1435,3.6
Johnson,Republican,Donald Trump,3035,4.2
Daniels,Republican,Donald Trump,340,4.1
Jones,Democrat,Hillary Clinton,910,5.1
Liberty,Republican,Donald Trump,387,25.4
Grant,Republican,Donald Trump,5992,2.9
Jackson,Republican,Donald Trump,5484,8.5
Napa,Democrat,Hillary Clinton,7370,35.0
Edwards,Republican,Donald Trump,867,1.4
San Diego,Democrat,Hillary Clinton,139813,37.4
Cumberland,Republican,Donald Trump,460,1.6
Irwin,Republican,Donald Trump,869,1.4
LaRue,Democrat,Bernie Sanders,910,3.0
Lamar,Republican,Donald Trump,5197,3.3
Coffee,Republican,Donald Trump,2469,9.8
Lake,Republican,Donald Trump,2927,6.3
Roberts,Democrat,Bernie Sanders,397,5.1
Love,Democrat,Bernie Sanders,502,9.8
Somerset,Democrat,Hillary Clinton,19667,29.6
Lake,Republican,Donald Trump,26393,12.5
Harlan,Republican,Donald Trump,436,2.7
Wicomico,Republican,Donald Trump,6998,10.7
Union,Democrat,Hillary Clinton,40972,41.9
Jackson,Democrat,Bernie Sanders,4656,8.7
Clay,Republican,Donald Trump,19374,9.8
Greenlee,Democrat,Hillary Clinton,497,24.3
Ste. Genevieve,Republican,Donald Trump,1080,2.1
Fergus,Republican,Donald Trump,1975,3.5
Assumption,Democrat,Hillary Clinton,1139,15.5
Wilkinson,Democrat,Hillary Clinton,1269,1.0
Stone,Republican,Ted Cruz,1428,1.5
Lake,Democrat,Hillary Clinton,43091,14.5
Sumter,Democrat,Hillary Clinton,2987,1.9
Adams,Republican,Donald Trump,354,2.1
Hidalgo,Democrat,Hillary Clinton,40276,84.9
Walton,Republican,Donald Trump,7910,6.4
Scott,Republican,Donald Trump,3373,1.7
Polk,Republican,Ted Cruz,3430,4.4
Hickman,Democrat,Bernie Sanders,300,1.4
Wayne,Democrat,Bernie Sanders,2898,0.6
Baker,Republican,Donald Trump,2163,2.2
Walker,Republican,Donald Trump,4208,2.4
Etowah,Republican,Donald Trump,8657,3.1
Refugio,Democrat,Hillary Clinton,549,27.5
Stone,Republican,Donald Trump,3928,1.8
Clinton,Republican,Donald Trump,2522,3.6
Lassen,Republican,Donald Trump,2508,17.7
Bartholomew,Republican,Donald Trump,7918,9.6
Sanders,Republican,Donald Trump,1992,3.6
Calloway,Democrat,Bernie Sanders,2239,5.5
Richmond City,Democrat,Hillary Clinton,21822,9.8
Portage,Democrat,Bernie Sanders,9348,6.2
Foard,Democrat,Bernie Sanders,112,4.8
Mercer,Democrat,Bernie Sanders,1331,2.0
Colquitt,Republican,Donald Trump,2967,17.1
Grand Traverse,Democrat,Bernie Sanders,8091,3.4
Marion,Republican,Donald Trump,1581,1.9
Kosciusko,Republican,Donald Trump,8748,10.6
Noble,Republican,Donald Trump,4422,12.0
Vance,Democrat,Hillary Clinton,4561,5.5
Richmond,Democrat,Hillary Clinton,16269,5.9
Taylor,Republican,Donald Trump,550,1.9
Macomb,Republican,Donald Trump,60492,13.6
Roger Mills,Democrat,Bernie Sanders,268,3.7
Morgan,Democrat,Bernie Sanders,87,26.5
Cass,Republican,Donald Trump,3941,13.4
Dubuque,Democrat,Hillary Clinton,2504,3.1
Bienville,Democrat,Hillary Clinton,1056,1.6
Park,Democrat,Bernie Sanders,8,6.1
Hickory,Republican,Donald Trump,297,2.6
St. Louis City,Democrat,Hillary Clinton,34458,9.6
Deer Lodge,Democrat,Hillary Clinton,986,2.4
Pike,Democrat,Bernie Sanders,4848,1.5
Dillon,Democrat,Hillary Clinton,1615,3.1
Dawson,Republican,Donald Trump,2649,4.8
Montgomery,Democrat,Hillary Clinton,28650,5.7
Benton,Democrat,Hillary Clinton,672,2.0
Bryan,Republican,Donald Trump,2214,4.4
Scott,Republican,Donald Trump,715,9.4
Linn,Republican,Donald Trump,955,3.1
Lewis,Republican,Donald Trump,801,7.0
Big Horn,Democrat,Bernie Sanders,2,7.1
Marshall,Democrat,Bernie Sanders,738,11.9
Washington,Republican,Donald Trump,1370,3.1
Albany,Democrat,Bernie Sanders,20422,12.2
Lincoln,Republican,Donald Trump,4144,2.6
Audrain,Republican,Ted Cruz,1642,4.9
Perry,Republican,Donald Trump,1642,2.2
Jasper,Democrat,Hillary Clinton,2194,12.8
Boyd,Democrat,Bernie Sanders,2262,2.0
Taos,Democrat,Bernie Sanders,4325,43.2
Howard,Republican,Donald Trump,8475,4.2
Massac,Republican,Donald Trump,1341,1.9
Uinta,Democrat,Bernie Sanders,5,6.6
Allamakee,Democrat,Hillary Clinton,304,8.0
Newton,Republican,Donald Trump,1073,0.9
Davidson,Democrat,Hillary Clinton,43691,15.5
Hudspeth,Democrat,Hillary Clinton,147,78.9
Sweet Grass,Republican,Donald Trump,707,2.6
Hudson,Democrat,Hillary Clinton,49798,59.2
Cameron,Democrat,Hillary Clinton,20326,73.1
Gage,Republican,Donald Trump,1407,3.7
Shoshone,Republican,Donald Trump,632,2.3
Trempealeau,Democrat,Bernie Sanders,2429,7.4
Washington,Republican,Donald Trump,1666,2.6
Harris,Democrat,Hillary Clinton,156729,42.5
Iowa,Democrat,Bernie Sanders,3198,3.4
Treasure,Republican,Donald Trump,143,6.9
LaGrange,Republican,Donald Trump,2571,40.0
Macon,Democrat,Hillary Clinton,4293,4.2
Chippewa,Republican,Donald Trump,1959,5.1
Columbus,Democrat,Hillary Clinton,3628,5.8
Pope,Republican,Donald Trump,507,3.4
Surry,Democrat,Hillary Clinton,812,1.7
DeSoto,Democrat,Hillary Clinton,1508,2.7
Ashley,Democrat,Hillary Clinton,1375,4.7
El Paso,Democrat,Hillary Clinton,36067,73.0
Calhoun,Republican,Donald Trump,8960,4.5
Macon,Democrat,Hillary Clinton,977,6.6
Carter,Republican,Donald Trump,623,1.3
Marquette,Democrat,Bernie Sanders,5530,3.6
Bay,Republican,Donald Trump,14426,6.3
Sacramento,Democrat,Hillary Clinton,68248,31.2
Guilford,Democrat,Hillary Clinton,37880,12.5
Dallas,Democrat,Hillary Clinton,8577,1.3
San Bernardino,Democrat,Hillary Clinton,71246,41.1
Choctaw,Democrat,Bernie Sanders,745,4.0
Butler,Republican,Donald Trump,564,2.9
Carroll,Republican,Ben Carson,0,13.6
Coffee,Republican,Donald Trump,4304,7.5
Pottawatomie,Democrat,Bernie Sanders,3400,3.6
Dallas,Republican,Donald Trump,1672,8.7
Ware,Republican,Donald Trump,1998,5.8
Madison,Republican,Ted Cruz,4079,10.1
Adair,Democrat,Bernie Sanders,971,8.8
Houghton,Democrat,Bernie Sanders,2039,7.0
Allen,Republican,Ted Cruz,29963,9.7
Whitfield,Republican,Donald Trump,5945,30.0
Kleberg,Democrat,Hillary Clinton,1738,49.5
Hinds,Democrat,Hillary Clinton,31386,3.1
Clearwater,Republican,Donald Trump,629,4.8
Park,Democrat,Bernie Sanders,231,3.8
Gordon,Republican,Donald Trump,4339,14.6
Garvin,Democrat,Bernie Sanders,1505,5.5
Montgomery,Democrat,Hillary Clinton,109304,39.1
Reynolds,Republican,Donald Trump,647,0.8
Marin,Democrat,Hillary Clinton,27238,23.0
Sullivan,Republican,Donald Trump,2379,1.8
Humboldt,Republican,Donald Trump,204,3.2
Berrien,Republican,Donald Trump,1563,4.9
Marion,Republican,Donald Trump,3503,2.5
Mercer,Democrat,Hillary Clinton,29505,28.2
Long,Republican,Donald Trump,633,8.2
Presque Isle,Republican,Donald Trump,916,3.6
Nez Perce,Republican,Ted Cruz,1583,4.3
Saguache,Democrat,Bernie Sanders,219,34.7
Menominee,Republican,Donald Trump,1304,2.7
Jackson,Democrat,Bernie Sanders,3021,8.4
Glades,Republican,Donald Trump,632,20.7
Washington,Republican,Donald Trump,1739,4.5
Elkhart,Republican,Ted Cruz,16204,18.1
Indian River,Republican,Donald Trump,13678,14.3
Loudoun,Democrat,Hillary Clinton,21171,29.6
Hardin,Republican,Donald Trump,496,1.1
Attala,Democrat,Hillary Clinton,1519,1.7
Lowndes,Democrat,Hillary Clinton,3782,0.7
Frontier,Republican,Donald Trump,315,1.5
Kootenai,Republican,Ted Cruz,11924,3.3
Pendleton,Democrat,Bernie Sanders,546,1.1
Noxubee,Democrat,Hillary Clinton,1397,2.5
Marshall,Democrat,Bernie Sanders,2308,1.5
Arkansas,Republican,Donald Trump,1073,2.8
Lincoln,Republican,Donald Trump,2950,2.0
Dawes,Republican,Donald Trump,831,6.0
LaPorte,Republican,Donald Trump,9494,5.3
Lapeer,Republican,Donald Trump,7446,4.1
Clinch,Republican,Donald Trump,412,3.2
Manassas,Democrat,Hillary Clinton,1812,36.4
Copiah,Democrat,Hillary Clinton,3373,3.6
Gratiot,Democrat,Bernie Sanders,1812,4.1
Tangipahoa,Democrat,Hillary Clinton,4267,4.9
St. Clair,Republican,Donald Trump,8596,2.5
Santa Barbara,Democrat,Hillary Clinton,23543,40.2
Fallon,Republican,Donald Trump,734,1.3
Carbon,Republican,Donald Trump,1507,3.9
Iosco,Republican,Donald Trump,1973,2.7
Johnson,Democrat,Bernie Sanders,5473,13.3
Liberty,Democrat,Hillary Clinton,2783,10.9
Turner,Republican,Donald Trump,652,4.4
Mason,Republican,Donald Trump,896,1.8
Alpine,Democrat,Bernie Sanders,129,9.9
Kiowa,Democrat,Hillary Clinton,5,4.0
Miner,Democrat,Hillary Clinton,109,1.3
Lancaster,Republican,Donald Trump,13251,10.9
Hinsdale,Democrat,Bernie Sanders,10,9.1
Sarasota,Republican,Donald Trump,34593,13.0
Lawrence,Republican,Donald Trump,1326,7.8
Adams,Republican,Donald Trump,2798,7.1
Phillips,Republican,Donald Trump,1097,1.2
Pecos,Democrat,Hillary Clinton,816,52.2
Beadle,Democrat,Hillary Clinton,501,13.9
Talbot,Republican,Donald Trump,3104,7.9
Leake,Democrat,Hillary Clinton,1614,6.1
Inyo,Republican,Donald Trump,1414,14.9
Howell,Republican,Donald Trump,4230,3.0
Neshoba,Republican,Donald Trump,2249,11.1
San Miguel,Democrat,Bernie Sanders,329,10.0
Rensselaer,Democrat,Bernie Sanders,6649,6.7
Prairie,Republican,Donald Trump,269,4.6
Floyd,Democrat,Bernie Sanders,4010,0.9
Las Animas,Democrat,Bernie Sanders,106,14.4
St. Clair,Republican,Donald Trump,962,4.3
Douglas,Democrat,Bernie Sanders,4510,3.0
Scott,Democrat,Bernie Sanders,4144,5.6
Placer,Republican,Donald Trump,25700,15.0
Bollinger,Republican,Donald Trump,1272,0.8
St. Johns,Republican,Donald Trump,24205,8.1
Todd,Democrat,Bernie Sanders,524,22.3
Maui,Democrat,Bernie Sanders,4419,20.7
Berkeley,Democrat,Hillary Clinton,9471,7.8
Howard,Republican,Donald Trump,534,2.3
Cherokee,Democrat,Bernie Sanders,2897,6.0
Maries,Republican,Donald Trump,958,2.0
Searcy,Republican,Donald Trump,939,1.5
Taylor,Democrat,Hillary Clinton,140,8.1
Kern,Republican,Donald Trump,33838,42.1
Union,Democrat,Bernie Sanders,1106,2.4
Valley,Republican,Donald Trump,575,7.2
Westchester,Democrat,Hillary Clinton,69628,32.7
Cass,Democrat,Hillary Clinton,300,2.5
Van Buren,Democrat,Bernie Sanders,3656,9.9
Kimball,Republican,Donald Trump,439,6.2
Johnson,Republican,Donald Trump,1383,2.5
Fillmore,Republican,Donald Trump,574,3.3
Tensas,Democrat,Hillary Clinton,492,2.6
Owen,Republican,Donald Trump,2679,2.5
Howard,Democrat,Bernie Sanders,215,6.0
JoDaviess,Republican,Donald Trump,1666,4.2
Houston,Republican,Donald Trump,8171,4.4
McIntosh,Democrat,Bernie Sanders,1261,1.6
Clinton,Democrat,Bernie Sanders,1234,2.3
Lincoln,Democrat,Bernie Sanders,4674,7.0
Pocahontas,Democrat,Hillary Clinton,198,2.5
Lafayette,Republican,Donald Trump,556,12.5
