"county","party","candidate","votes","more_language"
Black Hawk,Democrat,Bernie Sanders,3647,7.7
Collier,Republican,Donald Trump,30071,31.6
Clinton,Republican,Donald Trump,3252,12.5
Coahoma,Democrat,Hillary Clinton,2301,1.2
Worth,Republican,Donald Trump,224,0.9
Kenosha,Democrat,Bernie Sanders,14612,11.6
Russell,Democrat,Hillary Clinton,4381,5.0
Walker,Republican,Donald Trump,8394,1.4
George,Republican,Donald Trump,2245,2.1
Clarke,Republican,Donald Trump,1399,0.8
Louisa,Republican,Donald Trump,261,15.0
Clinton,Republican,Donald Trump,771,1.5
Logan,Republican,Ted Cruz,2361,4.7
Dixie,Republican,Donald Trump,1103,2.9
Ozark,Republican,Donald Trump,1099,2.1
Delaware,Democrat,Hillary Clinton,44775,11.6
Henry,Republican,Ted Cruz,379,4.4
Cotton,Democrat,Bernie Sanders,388,5.1
Golden Valley,Republican,Donald Trump,203,0.6
Caldwell,Democrat,Bernie Sanders,866,0.8
Brantley,Republican,Donald Trump,1161,1.7
Winston,Democrat,Hillary Clinton,1442,0.5
Bates,Republican,Donald Trump,1306,2.6
Genesee,Democrat,Hillary Clinton,31284,3.4
Bremer,Democrat,Hillary Clinton,640,2.2
Brown,Republican,Donald Trump,502,5.5
Crawford,Republican,Ted Cruz,3926,6.6
Kit Carson,Democrat,Bernie Sanders,16,15.2
Pike,Democrat,Hillary Clinton,2870,2.7
Lafourche,Republican,Donald Trump,2725,17.5
Holt,Republican,Donald Trump,1302,3.3
Jenkins,Republican,Donald Trump,513,4.1
Macon,Republican,Donald Trump,1489,2.7
Richmond,Democrat,Hillary Clinton,2941,6.8
Little River,Democrat,Hillary Clinton,721,3.0
Monroe,Republican,Donald Trump,8802,3.7
Boone,Republican,Donald Trump,2577,2.5
Adair,Republican,Donald Trump,1512,2.0
Jim Hogg,Democrat,Hillary Clinton,1421,81.9
Judith Basin,Republican,Donald Trump,421,3.3
Rock,Democrat,Bernie Sanders,17337,8.4
Harrison,Republican,Donald Trump,315,1.8
Orange,Republican,Donald Trump,146888,45.5
Madison,Republican,Donald Trump,12487,3.2
Burlington,Democrat,Hillary Clinton,32712,12.7
Wilson,Democrat,Hillary Clinton,6408,10.7
St. Charles,Republican,Donald Trump,30489,6.2
Cumberland,Republican,Ted Cruz,1081,1.6
Union,Democrat,Hillary Clinton,822,3.6
Boise,Republican,Donald Trump,691,4.1
Colfax,Democrat,Hillary Clinton,949,21.5
Camden,Republican,Donald Trump,3065,4.8
Pinellas,Democrat,Hillary Clinton,63699,13.2
Early,Republican,Donald Trump,760,1.5
Hooker,Republican,Donald Trump,119,1.6
Fayette,Republican,Donald Trump,2744,2.3
Richland,Democrat,Bernie Sanders,1784,5.0
Valencia,Democrat,Hillary Clinton,3123,33.7
Owsley,Republican,Donald Trump,168,0.6
Albemarle,Democrat,Hillary Clinton,8284,11.3
Twiggs,Democrat,Hillary Clinton,818,0.8
Jasper,Republican,Ted Cruz,11113,7.0
Wright,Democrat,Hillary Clinton,273,9.0
Wayne,Republican,Donald Trump,805,2.6
Clark,Republican,Donald Trump,545,1.6
Jackson,Republican,Donald Trump,5463,3.4
Fulton,Democrat,Hillary Clinton,315,3.0
Allegany,Republican,Donald Trump,6272,4.7
Newport News,Democrat,Hillary Clinton,12495,10.4
Bradford,Republican,Donald Trump,1802,2.9
Grundy,Republican,Donald Trump,3625,7.4
Phillips,Democrat,Bernie Sanders,18,19.8
Mississippi,Republican,Donald Trump,970,1.5
Martin,Republican,Donald Trump,1398,2.4
Benton,Republican,Marco Rubio,12863,15.5
Clay,Democrat,Hillary Clinton,297,3.3
Bell,Republican,Donald Trump,692,0.9
Crawford,Republican,Donald Trump,2189,1.5
Johnson,Republican,Donald Trump,1338,12.1
Marion,Democrat,Hillary Clinton,59649,12.4
Harrisonburg,Democrat,Bernie Sanders,2911,21.8
Jessamine,Democrat,Bernie Sanders,2113,4.1
Catoosa,Republican,Donald Trump,4449,3.7
Decatur,Republican,Donald Trump,3319,2.2
DeKalb,Republican,Donald Trump,6247,11.2
Red River,Democrat,Hillary Clinton,530,1.0
Mariposa,Republican,Donald Trump,1940,8.6
Grand,Democrat,Bernie Sanders,636,7.6
Calaveras,Republican,Donald Trump,4902,7.0
Rio Arriba,Democrat,Hillary Clinton,4915,62.6
Cedar,Republican,Donald Trump,775,2.4
Habersham,Republican,Donald Trump,3289,13.8
Santa Fe,Democrat,Hillary Clinton,16087,36.1
Beaverhead,Republican,Donald Trump,1626,2.1
Gila,Republican,Donald Trump,3065,14.4
Oscoda,Republican,Donald Trump,705,7.1
Greene,Republican,Donald Trump,1014,1.8
Iowa,Democrat,Hillary Clinton,357,3.7
Laurel,Republican,Donald Trump,2313,1.8
Oldham,Democrat,Hillary Clinton,2730,5.6
Saint Francis,Democrat,Hillary Clinton,1912,5.9
Carbon,Democrat,Hillary Clinton,4,10.1
Branch,Republican,Donald Trump,2455,8.1
Tuscola,Republican,Donald Trump,3750,2.7
St. Louis County,Democrat,Hillary Clinton,89373,8.7
Bergen,Democrat,Hillary Clinton,55264,38.7
Johnson,Democrat,Bernie Sanders,1,2.2
Boone,Republican,Donald Trump,3816,19.0
Gallatin,Republican,Donald Trump,8313,4.2
Portsmouth,Democrat,Hillary Clinton,9464,4.6
Webster,Democrat,Bernie Sanders,837,0.6
Arenac,Republican,Donald Trump,1141,2.2
Schuyler,Republican,Donald Trump,428,6.4
Johnston,Democrat,Bernie Sanders,606,4.6
Lee,Republican,Ted Cruz,5921,4.4
Wake,Democrat,Hillary Clinton,77927,16.6
Humboldt,Democrat,Bernie Sanders,13245,9.7
Howard,Republican,Ted Cruz,798,1.9
Montgomery,Republican,Donald Trump,672,3.8
Autauga,Republican,Donald Trump,5387,3.5
Boone,Republican,Donald Trump,740,2.5
Union,Democrat,Hillary Clinton,1690,1.7
Butts,Republican,Donald Trump,1884,3.0
Douglas,Republican,Donald Trump,23754,13.9
Martin,Republican,Donald Trump,16065,14.5
Pushmataha,Democrat,Bernie Sanders,667,3.4
Craighead,Republican,Ted Cruz,4108,5.2
Cumberland,Democrat,Hillary Clinton,22744,11.0
Pottawattamie,Democrat,Bernie Sanders,1573,6.2
Essex,Democrat,Bernie Sanders,1932,6.8
Sangamon,Republican,Ted Cruz,12261,5.2
Kinney,Democrat,Hillary Clinton,211,58.1
Franklin,Republican,Ted Cruz,1187,7.5
Clay,Democrat,Hillary Clinton,623,4.9
Sussex,Republican,Donald Trump,17794,10.1
Cleveland,Democrat,Bernie Sanders,16428,9.4
Butte,Republican,Ted Cruz,275,3.4
Cullman,Republican,Donald Trump,10618,4.6
Nuckolls,Republican,Donald Trump,446,3.1
Elbert,Republican,Donald Trump,1394,5.3
Crockett,Democrat,Hillary Clinton,266,44.3
Saline,Republican,Donald Trump,2102,2.3
Cumberland,Republican,Donald Trump,1081,1.6
Letcher,Democrat,Bernie Sanders,1788,0.9
Cascade,Republican,Donald Trump,8129,4.2
Dawson,Republican,Donald Trump,1685,1.4
Monroe,Republican,Donald Trump,2262,2.7
Columbia,Republican,Donald Trump,1149,4.7
Fairfax,Democrat,Hillary Clinton,86898,37.3
White,Republican,Donald Trump,1424,1.5
Monroe,Republican,Donald Trump,2602,1.3
Mahaska,Republican,Ted Cruz,669,2.4
Bond,Republican,Donald Trump,1102,3.4
Miller,Republican,Ted Cruz,2741,3.2
Dane,Democrat,Bernie Sanders,102585,11.6
Levy,Republican,Donald Trump,3745,6.0
Ottawa,Democrat,Bernie Sanders,1238,5.9
Calhoun,Democrat,Bernie Sanders,803,0.9
Lincoln,Republican,Donald Trump,3235,3.7
Livingston,Democrat,Bernie Sanders,610,1.9
Lawrence,Republican,Donald Trump,5971,2.7
Clarendon,Democrat,Hillary Clinton,3564,3.4
Yuba,Republican,Donald Trump,3210,24.7
Saline,Republican,Ted Cruz,7507,4.3
Santa Cruz,Democrat,Hillary Clinton,2496,76.9
Big Horn,Democrat,Hillary Clinton,2,7.1
Graves,Democrat,Bernie Sanders,2631,6.9
Christian,Republican,Ted Cruz,10586,3.2
Falls Church,Democrat,Hillary Clinton,1587,23.4
Casey,Republican,Donald Trump,1029,3.5
Worth,Republican,Donald Trump,1890,2.5
Calhoun,Democrat,Bernie Sanders,503,1.6
Bonner,Republican,Ted Cruz,3132,2.3
Bayfield,Democrat,Bernie Sanders,2604,4.1
Wibaux,Republican,Donald Trump,231,0.3
Lafayette,Democrat,Bernie Sanders,1330,7.2
Jasper,Democrat,Hillary Clinton,1976,1.1
Itawamba,Republican,Donald Trump,1905,2.2
Emanuel,Republican,Donald Trump,1489,4.7
Emmet,Democrat,Bernie Sanders,2589,3.2
Leflore,Democrat,Hillary Clinton,2094,3.4
Chickasaw,Democrat,Hillary Clinton,1398,3.4
Fulton,Democrat,Bernie Sanders,2537,3.2
Calhoun,Democrat,Hillary Clinton,200,1.9
Pulaski,Republican,Donald Trump,2802,12.3
Anne Arundel,Democrat,Hillary Clinton,35659,10.6
Winneshiek,Democrat,Bernie Sanders,616,3.6
Nelson,Democrat,Hillary Clinton,991,2.4
Franklin,Democrat,Hillary Clinton,4951,7.9
Alachua,Democrat,Hillary Clinton,17733,13.8
Furnas,Republican,Donald Trump,546,2.1
Terrell,Democrat,Hillary Clinton,804,2.4
DeKalb,Republican,Donald Trump,800,4.3
Elmore,Republican,Donald Trump,1252,15.1
Fayette,Democrat,Hillary Clinton,525,2.6
Franklin,Democrat,Hillary Clinton,665,7.3
Crawford,Republican,Donald Trump,1162,1.0
McKinley,Democrat,Hillary Clinton,4761,56.7
Cuming,Republican,Donald Trump,783,8.6
Choctaw,Republican,Donald Trump,765,0.7
Putnam,Republican,Donald Trump,1983,8.0
Quitman,Democrat,Hillary Clinton,193,1.7
Leon,Democrat,Hillary Clinton,27333,9.6
Yazoo,Democrat,Hillary Clinton,2203,7.3
Piatt,Republican,Ted Cruz,1855,1.8
Calhoun,Democrat,Bernie Sanders,5810,6.1
Union,Republican,Donald Trump,2169,4.7
Gadsden,Democrat,Hillary Clinton,7446,9.5
Pasquotank,Democrat,Hillary Clinton,2471,5.3
Pulaski,Republican,Donald Trump,1668,2.0
Jasper,Republican,Donald Trump,1205,5.4
Concordia,Democrat,Hillary Clinton,1830,1.6
La Crosse,Democrat,Bernie Sanders,15139,6.3
Palo Alto,Democrat,Hillary Clinton,213,2.1
Monongalia,Democrat,Bernie Sanders,8096,5.7
Elbert,Democrat,Bernie Sanders,144,5.2
Lee,Democrat,Hillary Clinton,2207,3.3
McHenry,Republican,Donald Trump,16514,14.3
Mitchell,Democrat,Hillary Clinton,1338,3.7
Riverside,Republican,Donald Trump,82814,39.9
Grant,Republican,Ted Cruz,1329,3.1
Atchison,Republican,Donald Trump,487,1.3
Mono,Democrat,Bernie Sanders,917,22.4
Sierra,Republican,Donald Trump,497,9.4
St. Landry,Democrat,Hillary Clinton,4606,10.9
Washington,Democrat,Bernie Sanders,12,5.5
Hughes,Democrat,Bernie Sanders,873,6.2
Ascension,Democrat,Hillary Clinton,4221,6.8
Drew,Democrat,Hillary Clinton,1250,3.4
Caroline,Republican,Donald Trump,2521,6.0
Sioux,Republican,Ted Cruz,1524,9.5
Ida,Republican,Donald Trump,136,2.8
Whitley,Republican,Donald Trump,1556,1.3
Custer,Republican,Donald Trump,1363,4.5
Henry,Democrat,Hillary Clinton,15639,10.2
Pierce,Republican,Donald Trump,1345,4.9
Bleckley,Republican,Donald Trump,935,3.2
Sequoyah,Democrat,Bernie Sanders,1872,4.1
Jackson,Democrat,Hillary Clinton,827,1.5
Okfuskee,Democrat,Bernie Sanders,596,6.2
Charlevoix,Republican,Donald Trump,1886,3.5
Henrico,Democrat,Hillary Clinton,28121,14.2
Nowata,Democrat,Bernie Sanders,530,1.4
Boundary,Republican,Ted Cruz,901,4.3
Crowley,Democrat,Bernie Sanders,16,14.7
Davis,Republican,Donald Trump,205,14.4
Bent,Democrat,Hillary Clinton,26,17.8
Lawrence,Republican,Donald Trump,3604,1.9
Hill,Republican,Donald Trump,1342,6.2
