county;party;candidate;votes;income
Fredericksburg;Democrat;Hillary Clinton;1396;27222
Freestone;Republican;Ted Cruz;2204;22876
Fremont;Democrat;Bernie Sanders;10;24037
Fremont;Democrat;Bernie Sanders;268;18954
Fremont;Democrat;Hillary Clinton;10;24037
Frio;Democrat;Hillary Clinton;1864;15863
Frontier;Republican;Donald Trump;315;25262
Fulton;Democrat;Bernie Sanders;2537;22318
Fulton;Democrat;Hillary Clinton;315;18602
Fulton;Democrat;Hillary Clinton;701;19326
Fulton;Democrat;Hillary Clinton;82576;36757
Fulton;Republican;Donald Trump;1783;23201
Fulton;Republican;John Kasich;4578;24771
Furnas;Republican;Donald Trump;546;22068
Gadsden;Democrat;Hillary Clinton;7446;17615
Gaines;Republican;Ted Cruz;1274;21572
Galax;Republican;Donald Trump;303;21769
