county;party;candidate;votes;income
Benton;Democrat;Hillary Clinton;557;18597
Benton;Democrat;Hillary Clinton;672;26624
Benton;Republican;Donald Trump;2278;19717
Benzie;Democrat;Bernie Sanders;1650;24831
Bergen;Democrat;Hillary Clinton;55264;43347
Berkeley;Democrat;Hillary Clinton;9471;24165
Berkeley;Republican;Donald Trump;9235;26264
Berks;Republican;Donald Trump;28719;26723
Bernalillo;Democrat;Bernie Sanders;38247;26814
Bertie;Democrat;Hillary Clinton;2065;17096
Bexar;Democrat;Hillary Clinton;76502;24253
Bibb;Democrat;Hillary Clinton;12944;20982
Bienville;Democrat;Hillary Clinton;1056;18958
Big Horn;Democrat;Bernie Sanders;2;25119
Big Horn;Democrat;Hillary Clinton;2;25119
Bingham;Republican;Ted Cruz;3471;18872
Black Hawk;Democrat;Bernie Sanders;3647;24273
Blackford;Republican;Donald Trump;1019;20322
Bladen;Democrat;Hillary Clinton;3442;19154
Blaine;Republican;Donald Trump;465;17437
Blaine;Republican;Donald Trump;543;35524
Blanco;Republican;Ted Cruz;1379;26781
Bland;Republican;Donald Trump;584;18501
Bleckley;Republican;Donald Trump;935;20156
Bledsoe;Republican;Donald Trump;1009;15747
Boise;Republican;Donald Trump;691;24324
Bolivar;Democrat;Hillary Clinton;3029;16462
Bon Homme;Republican;Donald Trump;343;20941
Bond;Republican;Donald Trump;1102;23195
Bonner;Republican;Ted Cruz;3132;23221
Bonneville;Republican;Ted Cruz;7794;22657
Boone;Democrat;Bernie Sanders;715;27149
Boone;Democrat;Bernie Sanders;2410;21627
Boone;Democrat;Bernie Sanders;15076;26895
Boone;Democrat;Hillary Clinton;2932;29235
Boone;Republican;Donald Trump;7023;37482
Borden;Republican;Ted Cruz;164;50042
Bossier;Republican;Ted Cruz;4988;27429
Botetourt;Republican;Donald Trump;2185;32490
Boulder;Democrat;Bernie Sanders;11142;38011
Boundary;Republican;Ted Cruz;901;19877
Bourbon;Democrat;Hillary Clinton;1109;22893
Box Elder;Republican;Ted Cruz;3314;21720
Boyd;Democrat;Bernie Sanders;2262;24530
Boyd;Republican;Donald Trump;327;23157
Boyle;Democrat;Hillary Clinton;1648;22249
Bracken;Democrat;Bernie Sanders;424;20918
Bradley;Republican;Donald Trump;770;19386
Bradley;Republican;Donald Trump;6103;21649
Braxton;Democrat;Bernie Sanders;1321;18635
Brazoria;Republican;Ted Cruz;19993;29081
Breathitt;Democrat;Bernie Sanders;1716;14706
Breckinridge;Democrat;Hillary Clinton;877;18101
Bremer;Democrat;Hillary Clinton;640;28727
Brewster;Democrat;Bernie Sanders;771;27796
Bronx;Democrat;Hillary Clinton;95772;18171
Brooke;Democrat;Bernie Sanders;1966;22815
Brookings;Democrat;Hillary Clinton;955;23105
Brooklyn;Democrat;Hillary Clinton;174236;25289
Brooks;Democrat;Hillary Clinton;1603;14345
Brooks;Republican;Donald Trump;1009;19409
Broome;Democrat;Bernie Sanders;9176;24835
Broomfield;Democrat;Bernie Sanders;1010;37442
Broward;Democrat;Hillary Clinton;132527;28205
Brown;Republican;Donald Trump;555;21843
Brown;Republican;Donald Trump;1407;27138
Brown;Republican;Donald Trump;4564;21206
Brown;Republican;Ted Cruz;4197;21236
Brunswick;Democrat;Hillary Clinton;1354;16060
Brunswick;Republican;Donald Trump;11584;26839
Bryan;Democrat;Bernie Sanders;1913;20524
Buchanan;Democrat;Hillary Clinton;525;27038
Buchanan;Republican;Donald Trump;1586;17489
Bucks;Republican;Donald Trump;51433;37466
Buena Vista;Republican;Ted Cruz;309;22899
Buffalo;Democrat;Hillary Clinton;110;11405
Buffalo;Republican;Donald Trump;3748;24830
Bullitt;Democrat;Bernie Sanders;3210;24308
Bulloch;Republican;Donald Trump;3111;18587
Bullock;Democrat;Hillary Clinton;2451;18628
Buncombe;Democrat;Bernie Sanders;30913;26159
