"county","party","candidate","votes","poverty_level"
Brookings,Democrat,Hillary Clinton,955,17.8
Miami,Republican,Donald Trump,3286,17.2
Clay,Republican,Donald Trump,1920,19.0
St. Landry,Democrat,Hillary Clinton,4606,26.8
Pemiscot,Republican,Donald Trump,1155,29.3
Montmorency,Republican,Donald Trump,1046,18.1
Madison,Republican,Ted Cruz,452,8.9
Virginia Beach,Democrat,Hillary Clinton,22352,7.9
Northampton,Democrat,Hillary Clinton,868,24.3
Worth,Republican,Donald Trump,1890,20.2
Beaverhead,Republican,Donald Trump,1626,15.1
Lanier,Republican,Donald Trump,512,26.7
Franklin,Democrat,Hillary Clinton,650,29.9
Union,Democrat,Bernie Sanders,1106,25.7
Pendleton,Democrat,Bernie Sanders,546,15.6
Seminole,Democrat,Bernie Sanders,1194,22.9
Sweet Grass,Republican,Donald Trump,707,13.5
Humboldt,Republican,Donald Trump,204,10.2
Crowley,Democrat,Bernie Sanders,16,29.1
Apache,Democrat,Hillary Clinton,4450,36.2
Calaveras,Republican,Donald Trump,4902,10.9
Platte,Republican,Ted Cruz,5798,7.4
Louisa,Republican,Donald Trump,261,12.2
Jefferson,Republican,Donald Trump,3281,16.5
Martinsville,Democrat,Hillary Clinton,834,27.2
Clay,Republican,Donald Trump,887,37.7
Boyd,Democrat,Bernie Sanders,2262,19.9
Leelanau,Democrat,Bernie Sanders,2359,11.2
Mobile,Democrat,Hillary Clinton,28927,19.8
Cameron,Republican,Donald Trump,216,8.7
Assumption,Democrat,Hillary Clinton,1139,18.7
Owen,Democrat,Bernie Sanders,720,16.2
Judith Basin,Republican,Donald Trump,421,12.4
Columbus,Democrat,Hillary Clinton,3628,25.0
Clinton,Republican,Donald Trump,1635,10.2
Harrison,Republican,Donald Trump,4326,13.2
Musselshell,Republican,Donald Trump,1032,13.0
Knox,Republican,Donald Trump,4918,14.0
Goshen,Democrat,Hillary Clinton,3,18.3
Cedar,Democrat,Bernie Sanders,445,8.0
Hancock,Republican,Donald Trump,1494,13.6
Randolph,Republican,Donald Trump,1917,12.4
Routt,Democrat,Bernie Sanders,406,9.1
Hardeman,Democrat,Hillary Clinton,1721,24.6
Cheboygan,Republican,Donald Trump,2089,17.8
Sussex,Democrat,Hillary Clinton,958,15.3
Carroll,Republican,Donald Trump,0,18.8
Butler,Democrat,Hillary Clinton,2196,28.4
Randolph,Republican,Donald Trump,1887,19.4
Clay,Democrat,Hillary Clinton,960,20.2
Midland,Republican,Ted Cruz,4720,13.4
Dinwiddie,Democrat,Hillary Clinton,1935,13.2
Rock Island,Democrat,Hillary Clinton,10216,13.3
Gilmer,Republican,Donald Trump,3314,21.7
Pearl River,Republican,Donald Trump,4562,22.2
Colleton,Democrat,Hillary Clinton,2932,20.6
Greensville,Democrat,Hillary Clinton,832,21.6
Oregon,Republican,Donald Trump,941,27.7
Lauderdale,Republican,Donald Trump,4740,24.1
Chippewa,Republican,Donald Trump,1959,17.7
Linn,Democrat,Bernie Sanders,6331,9.7
Jackson,Democrat,Hillary Clinton,450,10.5
Burt,Republican,Donald Trump,603,9.7
Washington,Republican,Ted Cruz,542,9.8
Butler,Republican,Donald Trump,3652,21.2
Petersburg,Democrat,Hillary Clinton,4099,26.7
Marion,Republican,Donald Trump,473,20.5
Broadwater,Republican,Donald Trump,1001,10.5
Chester,Democrat,Hillary Clinton,1962,24.5
Jasper,Democrat,Hillary Clinton,1976,22.1
Westchester,Democrat,Hillary Clinton,69628,9.5
Pitkin,Democrat,Bernie Sanders,421,10.1
Phillips,Democrat,Bernie Sanders,18,19.9
Athens,Democrat,Bernie Sanders,5663,31.7
Catoosa,Republican,Donald Trump,4449,13.9
Parke,Republican,Donald Trump,1996,13.3
Bertie,Democrat,Hillary Clinton,2065,23.4
Vermilion,Republican,Donald Trump,5021,19.6
Dodge,Republican,Donald Trump,1360,19.8
Zavala,Democrat,Hillary Clinton,1557,35.0
Clark,Republican,Ted Cruz,62,14.9
Schley,Republican,Donald Trump,331,22.3
Miller,Republican,Ted Cruz,2741,19.5
Pulaski,Republican,Donald Trump,1668,14.0
Montgomery,Republican,Donald Trump,4412,16.8
Logan,Democrat,Bernie Sanders,3201,19.8
Otero,Democrat,Bernie Sanders,94,25.2
Conway,Democrat,Hillary Clinton,1755,24.0
Hamilton,Democrat,Hillary Clinton,353,12.3
Saline,Republican,Ted Cruz,7507,8.6
Carroll,Democrat,Hillary Clinton,0,18.8
Conejos,Democrat,Hillary Clinton,73,19.4
Santa Cruz,Democrat,Hillary Clinton,2496,26.3
Lafayette,Republican,Donald Trump,7171,16.7
Van Buren,Democrat,Bernie Sanders,3656,19.4
Hot Springs,Democrat,Hillary Clinton,1,11.9
Fairfield,Democrat,Hillary Clinton,3260,22.7
Prince George's,Democrat,Hillary Clinton,113912,9.4
McHenry,Republican,Donald Trump,16514,7.7
Howard,Republican,Donald Trump,559,23.2
Monroe,Republican,Donald Trump,8802,12.3
Palm Beach,Democrat,Hillary Clinton,103369,14.5
Hill,Republican,Donald Trump,1342,18.9
Livingston,Republican,Donald Trump,4918,13.3
Yalobusha,Democrat,Hillary Clinton,1214,22.2
Monroe,Republican,Donald Trump,6030,13.5
Perry,Republican,Donald Trump,676,21.0
Falls Church,Democrat,Hillary Clinton,1587,4.0
Randolph,Democrat,Bernie Sanders,2492,15.9
Hamilton,Democrat,Hillary Clinton,758,23.6
Prince Edward,Democrat,Hillary Clinton,1366,19.8
Allendale,Democrat,Hillary Clinton,1022,36.0
Toole,Republican,Donald Trump,863,16.3
Union,Democrat,Hillary Clinton,2548,21.5
Scott,Republican,Donald Trump,715,20.0
Madison,Democrat,Hillary Clinton,1542,22.5
Baker,Republican,Donald Trump,2163,17.3
Marion,Republican,Ted Cruz,2263,16.2
Okfuskee,Democrat,Bernie Sanders,596,28.4
Mackinac,Republican,Donald Trump,856,15.3
Casey,Republican,Donald Trump,1029,26.8
Liberty,Democrat,Hillary Clinton,2783,18.7
Tishomingo,Republican,Donald Trump,1854,17.6
Grant,Republican,Donald Trump,162,18.8
Braxton,Democrat,Bernie Sanders,1321,22.0
Wilkinson,Democrat,Hillary Clinton,832,21.3
Menifee,Democrat,Bernie Sanders,323,27.5
Hillsborough,Democrat,Hillary Clinton,68936,16.8
DeWitt,Republican,Donald Trump,1577,14.0
Simpson,Republican,Donald Trump,2420,22.6
Brown,Republican,Donald Trump,555,15.6
Daviess,Republican,Donald Trump,3894,12.9
Sauk,Democrat,Bernie Sanders,7195,10.8
Early,Republican,Donald Trump,760,31.6
Sacramento,Democrat,Hillary Clinton,68248,17.6
Manassas Park,Democrat,Hillary Clinton,581,7.0
Douglas,Democrat,Hillary Clinton,9375,16.1
Franklin,Democrat,Bernie Sanders,2338,19.2
Day,Democrat,Hillary Clinton,343,20.8
Fountain,Republican,Donald Trump,2742,11.9
Harlan,Democrat,Bernie Sanders,1092,31.3
Dolores,Democrat,Bernie Sanders,22,14.9
Washington,Democrat,Bernie Sanders,41841,11.4
Pawnee,Democrat,Bernie Sanders,762,14.1
Allen,Republican,Ted Cruz,29963,15.3
Wake,Democrat,Hillary Clinton,77927,11.0
Attala,Democrat,Hillary Clinton,1519,27.7
Branch,Republican,Donald Trump,2455,18.7
Clay,Republican,Donald Trump,3615,15.8
Mercer,Republican,Donald Trump,455,20.3
Crook,Democrat,Bernie Sanders,1,6.7
Scott,Democrat,Bernie Sanders,4144,13.1
Fayette,Democrat,Hillary Clinton,525,11.5
Hardin,Republican,Ted Cruz,417,8.6
Dallas,Republican,Marco Rubio,2469,6.4
Benzie,Democrat,Bernie Sanders,1650,13.3
Sullivan,Republican,Donald Trump,2379,17.9
East Baton Rouge,Democrat,Hillary Clinton,32960,19.2
Fayette,Democrat,Hillary Clinton,9184,18.4
Madison,Republican,Donald Trump,1412,8.7
Fayette,Republican,Donald Trump,2479,19.9
Boone,Republican,Donald Trump,740,9.7
Drew,Democrat,Hillary Clinton,1250,28.5
Grady,Republican,Donald Trump,1422,30.1
Hampton,Democrat,Hillary Clinton,1930,25.2
Wayne,Republican,Ted Cruz,171,12.4
Ouachita,Democrat,Hillary Clinton,2095,23.1
Martin,Democrat,Hillary Clinton,2469,23.2
Clarke,Democrat,Hillary Clinton,232,13.7
Scott,Republican,Donald Trump,1929,19.0
Henderson,Republican,Donald Trump,516,11.3
Stark,Republican,Ted Cruz,448,11.1
Madison,Democrat,Bernie Sanders,2044,17.3
Deer Lodge,Democrat,Hillary Clinton,986,20.5
Riverside,Republican,Donald Trump,82814,16.2
Forsyth,Republican,Donald Trump,15698,7.6
Lake,Democrat,Bernie Sanders,165,14.3
Barren,Democrat,Bernie Sanders,2653,20.8
Pike,Republican,Donald Trump,1241,15.1
Flagler,Republican,Donald Trump,9684,16.6
Jackson,Democrat,Bernie Sanders,3021,21.8
Mingo,Democrat,Bernie Sanders,2425,22.9
Fairfax City,Democrat,Hillary Clinton,1840,7.2
Lucas,Democrat,Hillary Clinton,32137,20.8
