"county","party","candidate","votes","poverty_level"
Caddo,Democrat,Bernie Sanders,1543,20.6
Sumter,Democrat,Hillary Clinton,9816,17.9
El Dorado,Republican,Donald Trump,17651,9.0
Darlington,Democrat,Hillary Clinton,4988,24.0
Hamilton,Republican,Donald Trump,1030,10.1
Calcasieu,Democrat,Hillary Clinton,6594,17.4
Manhattan,Democrat,Hillary Clinton,177496,17.7
Lenawee,Republican,Donald Trump,5167,14.1
Chambers,Democrat,Hillary Clinton,2899,24.1
Baltimore,Democrat,Hillary Clinton,73099,8.9
Benton,Republican,Marco Rubio,12863,12.2
Lamar,Republican,Donald Trump,1398,18.9
Franklin City,Democrat,Hillary Clinton,831,23.0
Lee,Democrat,Hillary Clinton,2207,28.0
Chesterfield,Democrat,Hillary Clinton,22674,6.7
Jenkins,Republican,Donald Trump,513,29.4
Buncombe,Democrat,Bernie Sanders,30913,17.1
Madison,Republican,Ted Cruz,4079,35.8
Jackson,Democrat,Hillary Clinton,48860,17.4
Tensas,Democrat,Hillary Clinton,492,34.3
Putnam,Republican,Donald Trump,565,18.8
McCreary,Republican,Donald Trump,725,30.3
Carter,Republican,Donald Trump,623,21.9
Bibb,Republican,Donald Trump,1959,18.1
Boone,Democrat,Bernie Sanders,15076,20.0
Russell,Republican,Donald Trump,1106,27.3
Bremer,Democrat,Hillary Clinton,640,7.3
Gem,Republican,Ted Cruz,1391,18.2
Crenshaw,Republican,Donald Trump,1496,19.1
Sweetwater,Democrat,Bernie Sanders,12,11.3
Van Buren,Republican,Ted Cruz,196,16.5
Jackson,Republican,Donald Trump,711,28.4
Avoyelles,Democrat,Hillary Clinton,1181,22.6
St. Bernard,Democrat,Hillary Clinton,1057,18.7
Huntington,Republican,Donald Trump,4100,12.0
Adams,Democrat,Hillary Clinton,3013,28.4
DeKalb,Republican,Donald Trump,4203,12.4
Warren,Republican,Donald Trump,2722,13.4
McLean,Democrat,Bernie Sanders,628,18.8
Henry,Republican,Donald Trump,1636,18.1
Perry,Republican,Donald Trump,1642,10.9
Antrim,Republican,Donald Trump,1969,15.4
Monroe,Republican,Donald Trump,805,25.2
Putnam,Republican,Donald Trump,1983,14.0
Fremont,Democrat,Hillary Clinton,10,15.0
St. Lucie,Republican,Donald Trump,18350,18.4
Cass,Republican,Donald Trump,1811,6.4
Jackson,Republican,Donald Trump,5484,15.9
Escambia,Republican,Donald Trump,20856,18.1
Hinds,Democrat,Hillary Clinton,31386,25.3
Moody,Democrat,Hillary Clinton,262,11.9
Candler,Republican,Donald Trump,897,25.9
Nueces,Democrat,Hillary Clinton,15662,18.4
Trigg,Democrat,Bernie Sanders,715,16.1
Chattahoochee,Democrat,Hillary Clinton,182,11.9
Barry,Republican,Ted Cruz,3189,19.1
Crawford,Democrat,Bernie Sanders,1582,12.6
Whitfield,Republican,Donald Trump,5945,20.5
Jerauld,Democrat,Hillary Clinton,96,12.2
Buchanan,Democrat,Hillary Clinton,525,9.9
Fayette,Democrat,Hillary Clinton,20014,18.9
Vernon,Republican,Donald Trump,1530,21.0
Effingham,Republican,Donald Trump,3648,11.2
Madison,Republican,Donald Trump,23791,12.8
Henrico,Democrat,Hillary Clinton,28121,10.7
Beauregard,Republican,Ted Cruz,1363,16.8
Steuben,Republican,Donald Trump,3973,11.5
Wexford,Republican,Donald Trump,2578,18.6
Tuscola,Republican,Donald Trump,3750,15.7
Iron,Republican,Donald Trump,868,14.2
Dawson,Republican,Donald Trump,1685,16.0
Box Butte,Republican,Donald Trump,1188,23.9
Wayne,Republican,Donald Trump,2033,22.7
Greene,Democrat,Hillary Clinton,1643,23.3
Clarke,Republican,Donald Trump,1399,23.4
Manistee,Democrat,Bernie Sanders,1646,16.9
Colquitt,Republican,Donald Trump,2967,26.7
Humboldt,Democrat,Bernie Sanders,13245,20.4
Benton,Democrat,Hillary Clinton,557,24.1
Frederick,Republican,Donald Trump,15076,6.1
Nassau,Democrat,Hillary Clinton,70947,6.0
Dickinson,Democrat,Bernie Sanders,358,7.8
Pike,Democrat,Hillary Clinton,2870,27.5
Ouachita,Democrat,Hillary Clinton,8995,23.2
Monroe,Democrat,Bernie Sanders,15166,25.1
Bell,Republican,Donald Trump,692,33.5
Chatham,Democrat,Hillary Clinton,19898,19.1
Holt,Republican,Donald Trump,1302,10.2
Caroline,Democrat,Hillary Clinton,1902,12.7
Lee,Republican,Donald Trump,3057,11.2
Knox,Republican,Donald Trump,642,14.0
Ravalli,Republican,Donald Trump,6281,16.8
Allegheny,Democrat,Hillary Clinton,122399,12.9
Fleming,Democrat,Bernie Sanders,806,22.2
Inyo,Republican,Donald Trump,1414,12.8
Cuyahoga,Democrat,Hillary Clinton,125914,18.3
Iron,Republican,Donald Trump,800,23.7
Person,Democrat,Hillary Clinton,2954,18.0
Little River,Democrat,Hillary Clinton,721,14.0
Sequoyah,Democrat,Bernie Sanders,1872,21.4
Lake,Democrat,Hillary Clinton,49750,9.0
Haralson,Republican,Donald Trump,2818,22.8
Kershaw,Democrat,Hillary Clinton,3743,16.7
Refugio,Democrat,Hillary Clinton,549,16.2
Lafayette,Republican,Donald Trump,556,20.2
Grant,Democrat,Bernie Sanders,4484,16.6
LeFlore,Democrat,Bernie Sanders,2283,22.2
Cheyenne,Democrat,Hillary Clinton,5,7.2
Flathead,Republican,Donald Trump,10642,14.2
Lincoln,Democrat,Hillary Clinton,599,27.0
Rockland,Democrat,Hillary Clinton,16966,13.6
Butler,Democrat,Bernie Sanders,350,9.8
Estill,Democrat,Hillary Clinton,446,27.2
Culberson,Democrat,Hillary Clinton,355,25.2
Hidalgo,Democrat,Hillary Clinton,515,24.3
Worth,Republican,Donald Trump,224,13.2
Shelby,Republican,Ted Cruz,2069,11.8
Franklin,Republican,Donald Trump,1997,18.9
Cape Girardeau,Republican,Ted Cruz,7332,15.8
Barbour,Democrat,Hillary Clinton,2567,26.7
Sutter,Republican,Donald Trump,4697,16.7
Dougherty,Democrat,Hillary Clinton,8891,31.2
Lee,Republican,Ted Cruz,5921,18.3
Graves,Democrat,Bernie Sanders,2631,18.6
Newton,Republican,Donald Trump,1073,23.5
Iroquois,Republican,Donald Trump,2836,13.7
St. Mary's,Republican,Donald Trump,6576,7.2
Somerset,Democrat,Hillary Clinton,19667,5.0
Keith,Republican,Donald Trump,1253,11.2
Grant,Republican,Donald Trump,5992,18.6
Jackson,Democrat,Hillary Clinton,827,20.6
Jessamine,Democrat,Bernie Sanders,2113,16.9
Harrison,Republican,Donald Trump,315,9.6
St. Clair,Republican,Donald Trump,11995,14.9
Choctaw,Democrat,Bernie Sanders,745,27.1
Crisp,Republican,Donald Trump,1204,31.2
Phillips,Republican,Donald Trump,1097,14.0
Pike,Republican,Donald Trump,1649,12.7
Logan,Republican,Donald Trump,1208,17.6
Harrisonburg,Democrat,Bernie Sanders,2911,33.5
Alamance,Democrat,Hillary Clinton,7374,18.3
Clay,Republican,Donald Trump,19374,9.8
Story,Democrat,Bernie Sanders,2737,20.9
Banks,Republican,Donald Trump,1806,16.7
Mayes,Democrat,Bernie Sanders,2144,19.7
Jerome,Republican,Ted Cruz,1164,18.3
White,Republican,Donald Trump,3044,10.8
Hall,Republican,Donald Trump,12536,18.7
LaClede,Republican,Donald Trump,3493,19.7
Martin,Republican,Donald Trump,586,35.1
Monroe,Republican,Donald Trump,698,14.7
Claiborne,Democrat,Hillary Clinton,768,29.7
Archuleta,Democrat,Bernie Sanders,156,9.7
Carbon,Democrat,Hillary Clinton,4,13.5
Prince William,Democrat,Hillary Clinton,26439,6.3
Bossier,Republican,Ted Cruz,4988,14.3
Cleveland,Republican,Ted Cruz,550,17.7
Jasper,Republican,Ted Cruz,11113,18.4
Gasconade,Republican,Donald Trump,1429,14.8
Calhoun,Democrat,Bernie Sanders,803,22.0
Platte,Democrat,Bernie Sanders,2,16.1
Union,Democrat,Bernie Sanders,268,16.1
Sonoma,Democrat,Hillary Clinton,44923,11.9
Peach,Democrat,Hillary Clinton,1675,24.6
Lafayette,Democrat,Hillary Clinton,443,24.1
Latah,Republican,Ted Cruz,2134,20.4
Niobrara,Democrat,Bernie Sanders,2,16.3
Maverick,Democrat,Hillary Clinton,4342,30.5
Beaver,Democrat,Hillary Clinton,12963,12.2
Clark,Democrat,Hillary Clinton,1650,24.3
Cibola,Democrat,Hillary Clinton,1586,27.6
Richmond,Democrat,Hillary Clinton,2941,25.9
Camden,Republican,Donald Trump,5467,16.1
San Luis Obispo,Republican,Donald Trump,19313,14.3
Iberville,Democrat,Hillary Clinton,3699,19.2
Tulare,Republican,Donald Trump,15334,26.2
Door,Democrat,Bernie Sanders,3417,10.1
Mitchell,Democrat,Hillary Clinton,260,7.1
Pope,Republican,Donald Trump,507,17.0
Gloucester,Democrat,Hillary Clinton,17954,8.1
Greene,Democrat,Hillary Clinton,2714,32.9
Calhoun,Democrat,Hillary Clinton,1536,18.2
Big Horn,Democrat,Bernie Sanders,2,10.2
Placer,Republican,Donald Trump,25700,8.7
Iowa,Democrat,Bernie Sanders,3198,9.8
Todd,Democrat,Bernie Sanders,524,44.6
Maui,Democrat,Bernie Sanders,4419,10.6
Mississippi,Republican,Donald Trump,970,26.9
Cook,Republican,Donald Trump,1229,23.1
Jefferson,Democrat,Hillary Clinton,67357,18.0
McDonald,Republican,Donald Trump,1580,21.8
DeSoto,Republican,Ted Cruz,12300,9.8
Lowndes,Democrat,Hillary Clinton,4030,25.4
Northampton,Democrat,Hillary Clinton,3195,26.3
Cherokee,Republican,Donald Trump,18460,9.8
Union,Republican,Donald Trump,875,12.7
Cass,Republican,Donald Trump,680,14.8
Rapides,Democrat,Hillary Clinton,4722,19.9
New Madrid,Republican,Donald Trump,1376,21.7
Carter,Democrat,Bernie Sanders,1051,20.3
Dickinson,Republican,Donald Trump,1708,12.7
Bernalillo,Democrat,Bernie Sanders,38247,18.0
Madison,Democrat,Hillary Clinton,4351,20.0
Roberts,Democrat,Bernie Sanders,397,19.6
Mills,Republican,Donald Trump,300,7.0
Newton,Democrat,Hillary Clinton,7269,15.2
Adair,Democrat,Bernie Sanders,971,26.4
Schenectady,Democrat,Bernie Sanders,6862,12.7
Barrow,Republican,Donald Trump,4653,13.7
Mohave,Republican,Donald Trump,14154,19.4
Jefferson,Democrat,Hillary Clinton,16580,21.0
Clay,Democrat,Hillary Clinton,623,24.5
Montgomery,Republican,Donald Trump,672,22.0
Dunn,Democrat,Bernie Sanders,4272,15.7
Jackson,Republican,Donald Trump,8113,17.0
Socorro,Democrat,Hillary Clinton,1050,25.1
Lawrence,Republican,Ted Cruz,4235,18.6
Hall,Republican,Donald Trump,3818,13.7
Jefferson,Democrat,Bernie Sanders,347,20.7
Henry,Republican,Donald Trump,3021,10.5
Albemarle,Democrat,Hillary Clinton,8284,10.2
Reeves,Democrat,Hillary Clinton,1128,21.9
Gates,Democrat,Hillary Clinton,749,19.6
Calhoun,Republican,Donald Trump,8960,21.9
Adams,Republican,Ted Cruz,3851,18.1
Richmond,Democrat,Hillary Clinton,16269,25.1
Nottoway,Democrat,Hillary Clinton,829,16.8
Hidalgo,Democrat,Hillary Clinton,40276,34.8
Cochise,Republican,Donald Trump,6339,17.1
Napa,Democrat,Hillary Clinton,7370,10.1
Decatur,Republican,Donald Trump,3319,14.1
Granville,Democrat,Hillary Clinton,4693,15.4
Kenton,Democrat,Hillary Clinton,5146,13.7
Logan,Democrat,Hillary Clinton,77,17.6
Cumberland,Republican,Donald Trump,460,23.6
Staunton,Democrat,Bernie Sanders,1364,18.0
Montgomery,Democrat,Bernie Sanders,192,16.1
Independence,Republican,Donald Trump,2077,23.7
Dearborn,Republican,Donald Trump,6617,9.1
St. Clair,Republican,Donald Trump,962,21.8
Richland,Democrat,Bernie Sanders,1784,12.8
Taylor,Republican,Donald Trump,550,28.2
Kiowa,Democrat,Bernie Sanders,514,22.6
Clarendon,Democrat,Hillary Clinton,3564,24.9
Mesa,Democrat,Bernie Sanders,1095,14.7
Carroll,Republican,Ben Carson,0,18.8
Milwaukee,Democrat,Hillary Clinton,100932,21.6
Franklin,Democrat,Hillary Clinton,665,20.6
Jackson,Republican,Donald Trump,9934,15.9
St. Clair,Republican,Donald Trump,8596,15.2
Johnson,Republican,Donald Trump,17218,10.6
Hampton,Democrat,Hillary Clinton,13529,14.9
LaSalle,Republican,Donald Trump,577,14.2
Marshall,Republican,Ted Cruz,1095,11.0
Ashland,Democrat,Bernie Sanders,2304,18.8
Greenlee,Democrat,Hillary Clinton,497,16.0
Fayette,Republican,Donald Trump,1933,17.0
Charles,Democrat,Hillary Clinton,15132,7.0
Cascade,Republican,Donald Trump,8129,14.9
Golden Valley,Republican,Donald Trump,203,20.7
Marshall,Republican,Donald Trump,9115,19.5
Mahoning,Democrat,Hillary Clinton,21000,17.6
Daviess,Republican,Donald Trump,634,14.7
Cameron,Democrat,Hillary Clinton,20326,34.8
Johnson,Republican,Donald Trump,326,13.7
Lincoln,Democrat,Bernie Sanders,1510,27.3
Terrell,Democrat,Hillary Clinton,804,31.6
Greeley,Republican,Donald Trump,125,12.1
Noble,Republican,Donald Trump,4422,14.2
Lee,Republican,Donald Trump,51659,15.4
Chesapeake,Democrat,Hillary Clinton,16126,8.5
Wayne,Republican,Donald Trump,1735,28.4
Gulf,Republican,Donald Trump,1038,16.4
Baca,Democrat,Hillary Clinton,15,15.2
Lancaster,Republican,Donald Trump,13251,15.2
Idaho County,Republican,Donald Trump,1668,17.5
Natchitoches,Democrat,Hillary Clinton,2545,26.0
Meagher,Republican,Donald Trump,394,13.6
Crawford,Republican,Donald Trump,2189,21.1
Duplin,Democrat,Hillary Clinton,3036,26.3
Quitman,Democrat,Hillary Clinton,193,26.4
Colusa,Republican,Donald Trump,1342,12.5
Coffee,Republican,Donald Trump,2469,24.3
Grundy,Republican,Ted Cruz,272,7.0
Sedgwick,Democrat,Hillary Clinton,13,18.9
Grenada,Republican,Donald Trump,1727,21.9
Nemaha,Republican,Donald Trump,472,10.4
Lee,Republican,Donald Trump,273,37.2
Chickasaw,Democrat,Hillary Clinton,1398,25.3
Pierce,Democrat,Bernie Sanders,3199,12.4
Page,Republican,Ted Cruz,249,13.9
Richland,Democrat,Hillary Clinton,39243,17.2
Albany,Democrat,Bernie Sanders,25,26.0
Los Alamos,Democrat,Hillary Clinton,1424,4.4
Bingham,Republican,Ted Cruz,3471,15.2
Newberry,Democrat,Hillary Clinton,2118,17.2
Mecklenburg,Democrat,Hillary Clinton,1588,19.6
Hoke,Democrat,Hillary Clinton,3528,22.9
Coconino,Democrat,Bernie Sanders,6941,23.0
Dallas,Republican,Donald Trump,1672,22.8
Washington,Democrat,Hillary Clinton,601,14.2
Henry,Democrat,Hillary Clinton,15639,11.2
Jackson,Republican,Donald Trump,5463,16.0
Lawrence,Democrat,Hillary Clinton,933,25.4
Alcorn,Republican,Donald Trump,2901,20.8
Fergus,Republican,Donald Trump,1975,13.8
Henry,Democrat,Bernie Sanders,958,17.1
Petroleum,Republican,Donald Trump,167,11.1
Muhlenberg,Democrat,Bernie Sanders,1632,20.4
Weld,Democrat,Bernie Sanders,1647,14.7
Glynn,Republican,Donald Trump,5516,19.2
Trumbull,Democrat,Hillary Clinton,17903,17.4
Onondaga,Democrat,Hillary Clinton,20397,14.8
Silver Bow,Democrat,Hillary Clinton,4089,19.1
Morgan,Republican,Donald Trump,2378,14.4
Middlesex,Democrat,Hillary Clinton,47978,8.5
Perry,Democrat,Hillary Clinton,2575,25.6
Cherry,Republican,Donald Trump,1220,13.0
Baker,Democrat,Hillary Clinton,303,31.8
Las Animas,Democrat,Bernie Sanders,106,17.8
Henderson,Democrat,Hillary Clinton,2887,17.7
Shelby,Democrat,Bernie Sanders,232,10.8
Huerfano,Democrat,Bernie Sanders,150,20.6
Fillmore,Republican,Donald Trump,574,8.8
Marshall,Democrat,Hillary Clinton,287,18.6
Jefferson,Democrat,Hillary Clinton,64090,16.7
Massac,Republican,Donald Trump,1341,16.3
Douglas,Republican,Donald Trump,1657,22.6
Russell,Democrat,Hillary Clinton,4381,22.0
Madison,Republican,Donald Trump,2460,17.9
Clayton,Democrat,Hillary Clinton,25130,24.0
Kalkaska,Republican,Donald Trump,1724,16.3
Monroe,Democrat,Hillary Clinton,37309,15.0
Sierra,Republican,Donald Trump,497,19.4
Comanche,Democrat,Bernie Sanders,3804,17.3
Monona,Republican,Ted Cruz,185,9.0
Johnson,Republican,Donald Trump,684,22.8
Lackawanna,Democrat,Hillary Clinton,22971,13.6
Arthur,Republican,Donald Trump,68,6.9
Ozark,Republican,Donald Trump,1099,20.0
Telfair,Republican,Donald Trump,626,30.5
Dubuque,Democrat,Hillary Clinton,2504,10.9
Tift,Republican,Donald Trump,2697,27.9
Houghton,Democrat,Bernie Sanders,2039,23.0
Vermilion,Republican,Donald Trump,1460,17.1
Essex,Democrat,Hillary Clinton,75071,16.6
Lamar,Republican,Donald Trump,1810,22.3
Pike,Republican,Donald Trump,511,24.8
Lexington,Democrat,Hillary Clinton,402,25.2
St. Louis City,Democrat,Hillary Clinton,34458,27.4
Nance,Republican,Donald Trump,310,12.6
Clare,Republican,Donald Trump,1996,26.5
Pierce,Republican,Donald Trump,617,5.6
Adams,Republican,Donald Trump,354,16.6
King and Queen,Democrat,Hillary Clinton,477,9.2
Willacy,Democrat,Hillary Clinton,2072,40.0
Duval,Democrat,Hillary Clinton,58632,16.9
Alpena,Republican,Donald Trump,1885,17.3
Talladega,Republican,Donald Trump,6304,22.9
Oglala Lakota,Democrat,Bernie Sanders,574,53.2
Winston,Democrat,Hillary Clinton,1442,29.8
Meriwether,Democrat,Hillary Clinton,1463,21.1
Brown,Republican,Donald Trump,2202,14.6
Winnebago,Democrat,Bernie Sanders,17818,12.3
Payette,Republican,Ted Cruz,1364,20.0
Ware,Republican,Donald Trump,1998,24.3
Tallapoosa,Republican,Donald Trump,4658,19.8
Marion,Democrat,Hillary Clinton,1162,17.0
Harrison,Democrat,Bernie Sanders,1059,23.1
Marengo,Democrat,Hillary Clinton,3590,24.0
Nevada,Democrat,Hillary Clinton,647,26.5
Collier,Republican,Donald Trump,30071,14.1
Cross,Republican,Donald Trump,972,17.4
Caddo,Democrat,Hillary Clinton,16666,19.5
Wilkinson,Democrat,Hillary Clinton,1269,27.8
Johnson,Republican,Donald Trump,1075,24.3
Lauderdale,Republican,Donald Trump,7502,17.2
McIntosh,Democrat,Bernie Sanders,1261,20.7
Nelson,Democrat,Hillary Clinton,2395,18.2
Yolo,Democrat,Hillary Clinton,12567,19.1
Carter,Democrat,Bernie Sanders,2113,16.3
San Mateo,Democrat,Hillary Clinton,47358,7.6
Mariposa,Republican,Donald Trump,1940,16.1
Buffalo,Democrat,Hillary Clinton,110,35.6
Texas,Republican,Donald Trump,2659,21.4
Pointe Coupee,Democrat,Hillary Clinton,1680,17.7
