"county","party","candidate","votes","households"
Baca,Democrat,Hillary Clinton,15,1651
Clarke,Republican,Donald Trump,1399,6305
Noble,Republican,Donald Trump,4422,17722
Greene,Republican,Ted Cruz,26784,115574
Hall,Republican,Donald Trump,12536,61220
DeKalb,Republican,Donald Trump,6247,24923
Ringgold,Democrat,Hillary Clinton,132,2074
Yavapai,Republican,Donald Trump,17005,91349
Harlan,Republican,Donald Trump,436,1573
Kauai,Democrat,Bernie Sanders,2049,22390
Franklin,Republican,Ted Cruz,1187,4150
Bent,Democrat,Hillary Clinton,26,1873
Marengo,Democrat,Hillary Clinton,3590,8464
Saline,Republican,Donald Trump,2102,10174
Magoffin,Democrat,Bernie Sanders,626,4931
Lee,Democrat,Hillary Clinton,3224,21204
Leelanau,Democrat,Bernie Sanders,2359,9103
Athens,Democrat,Bernie Sanders,5663,22181
