"county","party","candidate","votes","households"
Yazoo,Democrat,Hillary Clinton,2203,8710
Terrell,Democrat,Hillary Clinton,804,3351
Boone,Democrat,Bernie Sanders,15076,65649
Peoria,Democrat,Hillary Clinton,11341,75892
Quitman,Democrat,Hillary Clinton,986,3114
Franklin City,Democrat,Hillary Clinton,831,3551
Cole,Republican,Ted Cruz,6159,29302
Carroll,Republican,Donald Trump,1268,6671
Seminole,Democrat,Bernie Sanders,1194,9327
Kosciusko,Republican,Donald Trump,8748,29705
Haralson,Republican,Donald Trump,2818,10806
Garrett,Republican,Donald Trump,3564,11974
Crook,Democrat,Hillary Clinton,1,3010
Colleton,Democrat,Hillary Clinton,2932,14905
Ogle,Republican,Ted Cruz,4307,20745
Worth,Republican,Donald Trump,1890,7851
Madison,Democrat,Bernie Sanders,18723,107238
Brooks,Democrat,Hillary Clinton,1603,2439
Madison,Republican,Donald Trump,12487,50637
Marion,Republican,Donald Trump,31370,134002
Salt Lake,Democrat,Bernie Sanders,35610,344089
Brevard,Republican,Donald Trump,45483,220277
Teton,Democrat,Bernie Sanders,9,7583
Lee,Democrat,Hillary Clinton,956,3491
Winnebago,Democrat,Bernie Sanders,17818,68140
DuPage,Democrat,Bernie Sanders,65159,336028
Essex,Democrat,Hillary Clinton,75071,277302
Yuma,Republican,Donald Trump,4390,70122
Clay,Democrat,Hillary Clinton,960,6814
Berrien,Republican,Donald Trump,1563,7040
Tallahatchie,Democrat,Hillary Clinton,1341,4640
Pondera,Republican,Donald Trump,930,2302
Madera,Republican,Donald Trump,8247,42516
Spencer,Republican,Donald Trump,2350,7984
Colbert,Democrat,Hillary Clinton,3879,22260
Heard,Republican,Donald Trump,1068,4321
Monroe,Democrat,Hillary Clinton,37309,297040
Santa Rosa,Republican,Donald Trump,16044,57368
Union,Democrat,Hillary Clinton,1690,11854
Boone,Republican,Donald Trump,740,2242
Ralls,Republican,Donald Trump,961,4044
Jefferson,Republican,Donald Trump,3077,12668
Harrisonburg,Democrat,Bernie Sanders,2911,15701
Putnam,Republican,Donald Trump,565,2230
Wright,Republican,Donald Trump,1874,7295
Dorchester,Republican,Donald Trump,2744,13386
Bath,Democrat,Bernie Sanders,641,4447
Lawrence,Republican,Ted Cruz,4235,14817
Marion,Republican,Donald Trump,1581,7036
Moody,Democrat,Hillary Clinton,262,2686
Henry,Republican,Donald Trump,5714,18367
Bulloch,Republican,Donald Trump,3111,25254
Moffat,Democrat,Bernie Sanders,28,5062
Dane,Democrat,Bernie Sanders,102585,206982
Bibb,Republican,Donald Trump,1959,7091
Erie,Democrat,Hillary Clinton,19511,109675
Pearl River,Republican,Donald Trump,4562,20556
Caldwell,Republican,Donald Trump,780,3743
Floyd,Republican,Donald Trump,5945,34646
Randolph,Democrat,Hillary Clinton,690,3020
Effingham,Republican,Donald Trump,3648,17830
Webster,Democrat,Hillary Clinton,866,15458
