lp;races_range            ;counties;democrats;republicans;d_democrats           ;d_republicans         ;woe                    ;diff(d_democrats, d_republicans);contributor                               ;iv                                        ;
1;black > 19             ;     424;      335;         89;0,35676251331203407881;0,09478168264110756124;-1,32549416209292659591;         -0,26198083067092651757;0,3472540616345686289579487490235309051387;0,4381042494020726377946599920564944900111;
2;black between 15 and 19;      65;       24;         41;0,02555910543130990415;0,04366347177848775293; 0,53551823635636218438;          0,01810436634717784878;0,0096952183365901566952364117195901180564;0,4381042494020726377946599920564944900111;
3;black < 15             ;    1389;      580;        809;0,61767838125665601704;0,86155484558040468584; 0,33277081351802666882;          0,24387646432374866880;0,0811549694309138521414748313133734668160;0,4381042494020726377946599920564944900111;

