lp;races_range             ;counties;democrats;republicans;d_democrats           ;d_republicans         ;woe                    ;diff(d_democrats, d_republicans);contributor                               ;iv                                        ;
0;white > 75%             ;     929;      338;        591;0,35995740149094781683;0,62939297124600638978; 0,55877012192307941665;          0,26943556975505857295;0,1505525461624484477236186778552674696175;0,4733387981794491937611217884974756708205;
1;white between 65 and 75%;     254;      102;        152;0,10862619808306709265;0,16187433439829605964; 0,39890770756200530723;          0,05324813631522896699;0,0212410919894571516112247676510104783377;0,4733387981794491937611217884974756708205;
2;white < 64              ;     695;      499;        196;0,53141640042598509052;0,20873269435569755059;-0,93449143652100143621;         -0,32268370607028753993;0,3015451600275435944262783429911977228653;0,4733387981794491937611217884974756708205;

