lp;veterans_range   ;counties;democrats;republicans;d_democrats           ;d_republicans         ;woe                    ;diff(d_democrats, d_republicans);contributor                               ;iv                                        ;
0;<0,06            ;     453;      306;        147;0,32587859424920127796;0,15654952076677316294;-0,73315251517364447087;         -0,16932907348242811502;0,1241440361156650382013858535754593994674;0,2261983101146304230002937696593194224666;
1;from 0,06 to 0,08;     743;      369;        374;0,39297124600638977636;0,39829605963791267306; 0,01345915337400474707;          0,00532481363152289670;0,0000716674833546578651411042591972376690;0,2261983101146304230002937696593194224666;
2;from 0,08 to 0,1 ;     454;      196;        258;0,20873269435569755059;0,27476038338658146965; 0,27484492569110019523;          0,06602768903088391906;0,0181473752852483621975813764618335180838;0,2261983101146304230002937696593194224666;
3;from 0,1 to 1    ;     228;       68;        160;0,07241746538871139510;0,17039403620873269436; 0,85566611005772022264;          0,09797657082002129926;0,0838352312303623647361854353628292672464;0,2261983101146304230002937696593194224666;

